CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,cutpoint,F1,DNAm,F1_validate,F1_dif
cg04294888,0.485245566,0.605763214,14.98587225,7.04e-43,4.36e-40,86.40684213,0.16415484,0.649400406,0.485245566,22,28839249,F,II,TTC28,Body,opensea,Body-opensea,,,,,,,0.587219031,0.38,0.9330543933054394,hyper,0.8972972972972972,-0.0357570960081421
cg14117138,0.487159328,0.627808756,17.53042025,4.41e-55,2.91e-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.587046117,0.32,0.9635627530364372,hyper,0.9591836734693876,-0.0043790795670495
cg05385513,0.476907781,0.636862006,16.81552447,1.37e-51,5.1099999999999995e-48,106.3804127,0.202841615,0.679749396,0.476907781,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.576475575,0.36,0.952965235173824,hyper,0.9319371727748692,-0.0210280623989549
cg10069493,0.461859343,0.579439144,16.99491377,1.8399999999999997e-52,8.06e-49,108.3818956,0.159113915,0.620973258,0.461859343,10,45914688,R,I,ALOX5,Body,island,Body-island,chr10:45914374-45914883,True,True,,,,0.572644126,0.36,0.9419087136929462,hyper,0.9375,-0.0044087136929461
cg26573704,0.443961282,0.542280174,15.31663994,2e-44,1.68e-41,89.95182057,0.138243467,0.58220475,0.443961282,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.56913528,0.25,0.9551020408163268,hyper,0.9484536082474226,-0.0066484325689041
cg14861089,0.456110824,0.616962583,16.29931593,4.2800000000000004e-49,9.2e-46,100.6603591,0.201868919,0.657979743,0.456110824,10,102895043,R,I,TLX1,Body,island,Body-island,chr10:102893660-102895059,,,,,,0.559211553,0.28,0.9635627530364372,hyper,0.9489795918367346,-0.0145831611997025
cg08862890,0.467003585,0.604098205,18.17308614,2.95e-58,4.26e-54,121.6809802,0.179091346,0.64609493,0.467003585,5,169064451,R,I,DOCK2,Body,island,Body-island,chr5:169064270-169064702,,,,,,0.556384629,0.39,0.9506172839506172,hyper,0.9484536082474226,-0.0021636757031945
cg00817367,0.476429186,0.603189432,18.76519493,3.3099999999999996e-61,8.890000000000003e-57,128.4516895,0.169604597,0.646033783,0.476429186,12,52401214,F,I,GRASP,Body,island,Body-island,chr12:52400467-52401696,True,,,,,0.55498594,0.41,0.9527720739219712,hyper,0.9375,-0.0152720739219711
cg20883831,0.462837739,0.543041064,16.14435613,2.3699999999999998e-48,4.21e-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.553790152,0.16,0.9718875502008032,hyper,0.9696969696969696,-0.0021905805038334
cg03576469,0.472785931,0.621988236,17.08321076,6.84e-53,3.18e-49,109.3694999,0.191719025,0.664504956,0.472785931,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.549827987,0.38,0.9613034623217924,hyper,0.9263157894736842,-0.0349876728481082
cg09296001,0.454654909,0.576115252,19.29261601,7.49e-64,4.690000000000001e-59,134.5230548,0.162346575,0.617001485,0.454654909,7,127672564,R,I,SND1,Body,island,Body-island,chr7:127671158-127672853,True,,,,,0.548335093,0.44,0.9484536082474228,hyper,0.9206349206349206,-0.0278186876125021
cg26388816,0.460666833,0.608316337,16.61105258,1.34e-50,3.83e-47,104.1075072,0.189076377,0.64974321,0.460666833,12,570155,F,I,B4GALNT3,Body,island,Body-island,chr12:568702-570362,True,,,,,0.547537792,0.39,0.9440993788819876,hyper,0.9263157894736842,-0.0177835894083033
cg02534363,0.445082018,0.598838056,14.84724763,3.1e-42,1.68e-39,84.93083191,0.1937814,0.638863418,0.445082018,3,47050950,R,II,NBEAL2,3'UTR,island,3'UTR-island,chr3:47050486-47051609,,True,,,,0.543311418,0.26,0.9552845528455284,hyper,0.9375,-0.0177845528455283
cg04407470,0.41683616,0.547685311,15.94979703,2.02e-47,3e-44,96.82294578,0.168334418,0.585170577,0.41683616,6,108489977,R,I,NR2E1,Body,island,Body-island,chr6:108485671-108490539,,True,,,,0.543105463,0.26,0.9574036511156186,hyper,0.9748743718592964,0.0174707207436777
cg08843517,0.452742099,0.626869579,17.99178091,2.33e-57,2.58e-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.542396344,0.29,0.9699398797595192,hyper,0.964467005076142,-0.005472874683377
cg02499249,0.461076705,0.568310676,15.17531068,9.19e-44,6.69e-41,88.43322163,0.148697703,0.609774408,0.461076705,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.537191401,0.26,0.9570552147239264,hyper,0.9263157894736842,-0.0307394252502422
cg19548479,0.442655104,0.526410017,15.02676679,4.5400000000000015e-43,2.95e-40,86.84337913,0.123562027,0.566217131,0.442655104,17,41363737,R,II,TMEM106A,TSS200,island,TSS200-island,chr17:41363727-41364273,True,,,,,0.536731779,0.31,0.9419087136929462,hyper,0.9032258064516128,-0.0386829072413332
cg16332610,0.448924064,0.644556976,18.70762821,6.41e-61,1.4200000000000001e-56,127.791206,0.236003781,0.684927845,0.448924064,15,74658547,F,II,CYP11A1,1stExon,island,1stExon-island,chr15:74658038-74658574,,True,,,,0.536388341,0.38,0.9698189134808854,hyper,0.9484536082474226,-0.0213653052334628
cg16232979,0.447779549,0.55432619,16.05728139,6.189999999999999e-48,1.02e-44,97.99982126,0.146814586,0.594594135,0.447779549,19,16187631,F,I,TPM4,Body,island,Body-island,chr19:16186789-16188275,,,high-CpG:16048047-16048853,,,0.536382411,0.39,0.9375,hyper,0.9424083769633508,0.0049083769633508
cg22260952,0.448151326,0.560729884,16.33324683,2.94e-49,6.54e-46,101.0344681,0.152879937,0.601031263,0.448151326,12,104852446,F,I,CHST11,Body,shore,Body-shore,chr12:104850253-104852395,,,,,,0.532698931,0.37,0.9462809917355371,hyper,0.9319371727748692,-0.014343818960668
cg13247663,0.410974029,0.624317945,17.27915966,7.54e-54,4.05e-50,111.5667979,0.250302013,0.661276041,0.410974029,8,59058254,R,I,FAM110B,5'UTR,island,5'UTR-island,chr8:59058167-59059414,True,True,high-CpG:59220802-59221031,,,0.53255206,0.43,0.9552845528455284,hyper,0.953846153846154,-0.0014383989993744
cg20687242,0.434039699,0.581535262,15.27960063,2.98e-44,2.3999999999999997e-41,89.55327381,0.18652791,0.620567609,0.434039699,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.532474576,0.26,0.9678714859437751,hyper,0.953846153846154,-0.0140253320976212
cg12627583,0.438785201,0.552056092,15.4359162,5.5e-45,5.09e-42,91.23788422,0.152729992,0.591515192,0.438785201,2,201450731,R,II,AOX1,1stExon,island,1stExon-island,chr2:201450526-201451027,True,True,,,,0.53241768,0.18,0.9698189134808854,hyper,0.9595959595959594,-0.010222953884926
cg26654286,0.442770403,0.542524439,15.5782783,1.17e-45,1.23e-42,92.77804597,0.139571518,0.582341921,0.442770403,17,38465510,F,II,RARA,5'UTR,opensea,5'UTR-opensea,,,,,,,0.530988377,0.29,0.952965235173824,hyper,0.9263157894736842,-0.0266494457001398
cg06126713,0.432175254,0.608194266,14.45837469,1.9199999999999998e-40,7.45e-38,80.82233386,0.214883692,0.647058947,0.432175254,7,16505617,R,II,SOSTDC1,TSS200,opensea,TSS200-opensea,,,,,,,0.529939612,0.38,0.9330543933054394,hyper,0.9139784946236558,-0.0190758986817836
cg20118643,0.437301406,0.603430351,14.83126488,3.68e-42,1.97e-39,84.76103318,0.205454611,0.642756017,0.437301406,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.527310516,0.45,0.9171974522292994,hyper,0.8729281767955802,-0.0442692754337191
cg06426416,0.389213017,0.505983496,11.78586414,9.03e-29,4.59e-27,54.09978781,0.151771649,0.540984666,0.389213017,4,5710403,R,II,EVC2,5'UTR,island,5'UTR-island,chr4:5709985-5710495,True,,,,,0.525780059,0.37,0.8913043478260869,hyper,0.8666666666666667,-0.0246376811594202
cg20676696,0.431736041,0.544759411,14.54194117,7.949999999999995e-41,3.33e-38,81.70114321,0.151848553,0.583584594,0.431736041,1,110210444,R,II,GSTM2,TSS200,shore,TSS200-shore,chr1:110210581-110210956,True,True,,,,0.524323575,0.2,0.959349593495935,hyper,0.9430051813471504,-0.0163444121487846
cg08377924,0.455227965,0.526558613,14.71900945,1.22e-41,6.02e-39,83.57068034,0.112268415,0.567496379,0.455227965,17,41363628,R,II,NBR1,3'UTR,shore,3'UTR-shore,chr17:41363727-41364273,True,,,,,0.521922397,0.2,0.9591836734693876,hyper,0.9375,-0.0216836734693876
cg00980978,0.434326503,0.537549215,14.21229811,2.55e-39,7.88e-37,78.24794969,0.142280851,0.576607354,0.434326503,20,44098724,R,II,WFDC2,Body,island,Body-island,chr20:44098280-44099536,,True,,,,0.520287603,0.29,0.9397089397089397,hyper,0.9090909090909092,-0.0306180306180304
cg15732851,0.400786037,0.550707893,12.13607349,3.16e-30,2.0099999999999999e-28,57.43056628,0.185963766,0.586749803,0.400786037,1,203598761,F,I,ATP2B4,5'UTR,island,5'UTR-island,chr1:203598471-203598853,,,,,,0.519229952,0.21,0.9404517453798767,hyper,0.9547738693467336,0.0143221239668568
cg16260298,0.440477513,0.540672944,16.4909963,5.11e-50,1.32e-46,102.7772927,0.139806718,0.580284231,0.440477513,7,116140342,F,II,CAV2,Body,island,Body-island,chr7:116139774-116140352,True,,,,,0.518921037,0.22,0.9718875502008032,hyper,0.953846153846154,-0.0180413963546492
cg02156680,0.430787277,0.531705566,14.11790526,6.85e-39,1.98e-36,77.26587856,0.139658151,0.570445429,0.430787277,8,120651317,R,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.518424761,0.28,0.9330543933054394,hyper,0.9148936170212766,-0.0181607762841627
cg09651145,0.422567793,0.596595116,16.27370258,5.68e-49,1.1899999999999999e-45,100.3781373,0.212028024,0.634595817,0.422567793,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.513821145,0.42,0.9308176100628932,hyper,0.8852459016393442,-0.0455717084235489
cg27260772,0.396633153,0.587561897,12.23740222,1.1799999999999999e-30,8.05e-29,58.40488411,0.226597193,0.623230346,0.396633153,6,50791202,F,I,TFAP2B,Body,island,Body-island,chr6:50791110-50791573,,,,,,0.513727276,0.22,0.9469387755102042,hyper,0.9543147208121826,0.0073759453019783
cg22538054,0.428872583,0.516245198,16.21690383,1.0599999999999999e-48,2.05e-45,99.75285779,0.125940293,0.554812876,0.428872583,12,95941988,F,I,USP44,5'UTR,island,5'UTR-island,chr12:95941906-95942979,True,,,rs61939483,,0.511736954,0.18,0.967741935483871,hyper,0.98,0.0122580645161289
cg14130039,0.431070513,0.582808576,15.17480868,9.24e-44,6.7e-41,88.42783788,0.190503396,0.62157391,0.431070513,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.508970194,0.21,0.9699398797595192,hyper,0.964467005076142,-0.005472874683377
cg17437939,0.427859796,0.639887755,15.15461024,1.1500000000000001e-43,8.199999999999996e-41,88.21127856,0.250504559,0.678364355,0.427859796,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.508479739,0.34,0.9637096774193548,hyper,0.9484536082474226,-0.0152560691719321
cg21634602,0.38979035,0.55847866,10.53077795,9.13e-24,2.33e-22,42.6639951,0.203741399,0.593531749,0.38979035,5,112073570,R,II,APC,1stExon,opensea,1stExon-opensea,,True,True,high-CpG:112101462-112101485,,,0.507761097,0.16,0.9363449691991786,hyper,0.9435897435897436,0.007244774390565
cg06244497,0.429319861,0.526680156,14.54416643,7.77e-41,3.26e-38,81.72457577,0.135968196,0.565288057,0.429319861,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,True,,,,0.505732424,0.31,0.9375,hyper,0.8913043478260869,-0.046195652173913
cg20601919,0.425405436,0.593147991,10.99105428,1.46e-25,4.72e-24,46.76261313,0.20599844,0.631403876,0.425405436,2,219646831,F,I,CYP27A1,5'UTR,island,5'UTR-island,chr2:219646432-219647181,True,,high-CpG:219354692-219355323,,,0.505606056,0.22,0.908704883227176,hyper,0.8666666666666667,-0.0420382165605093
cg06947913,0.381894179,0.489870477,13.32328342,2.45e-35,3.7e-33,69.12535565,0.1423193,0.524213479,0.381894179,12,50297793,R,I,FAIM2,TSS200,island,TSS200-island,chr12:50297580-50297988,True,True,,,,0.505495947,0.21,0.931106471816284,hyper,0.9375,0.0063935281837159
cg07198194,0.418193306,0.539452539,18.43280484,1.5100000000000001e-59,2.7e-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.504579713,0.29,0.9698189134808854,hyper,0.953846153846154,-0.0159727596347315
cg00800229,0.423759953,0.498647404,16.08532684,4.54e-48,7.63e-45,98.30737384,0.11299536,0.536755313,0.423759953,14,22004993,F,I,SALL2,1stExon,opensea,1stExon-opensea,,,True,,,,0.503361843,0.18,0.967741935483871,hyper,0.964467005076142,-0.0032749304077288
cg00735923,0.403022924,0.63903779,14.32860487,7.54e-40,2.5800000000000002e-37,79.46219153,0.272257935,0.675280859,0.403022924,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.50322073,0.37,0.9575757575757576,hyper,0.9435897435897436,-0.0139860139860139
cg24033558,0.423071661,0.579939945,20.19649747,2.04e-68,3.84e-63,145.0009546,0.194914296,0.617985957,0.423071661,15,45479755,R,I,SHF,Body,island,Body-island,chr15:45479509-45480498,True,,,,,0.502369931,0.34,0.9718875502008032,hyper,0.9696969696969696,-0.0021905805038334
cg14000361,0.40298381,0.612182869,15.35752576,1.29e-44,1.1099999999999999e-41,90.39220909,0.24543861,0.648422421,0.40298381,6,10882336,F,I,GCM2,TSS1500,shore,TSS1500-shore,chr6:10882926-10883149,,,,,,0.498140837,0.41,0.9465020576131686,hyper,0.9381443298969072,-0.0083577277162615
cg20787173,0.398757684,0.541145196,14.53223371,8.81e-41,3.65e-38,81.59894002,0.178247016,0.5770047,0.398757684,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,True,,,,,0.497229225,0.19,0.9635627530364372,hyper,0.9489795918367346,-0.0145831611997025
cg16703956,0.405173205,0.528863792,16.24020906,8.23e-49,1.6099999999999998e-45,100.0093239,0.160127027,0.565300232,0.405173205,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,True,,,,rs2735852,0.494943659,0.32,0.9549180327868853,hyper,0.9375,-0.0174180327868852
cg14616251,0.40401107,0.581737678,14.91609077,1.49e-42,8.53e-40,85.66310999,0.214058538,0.618069609,0.40401107,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,True,,,,,0.494668251,0.42,0.9194915254237288,hyper,0.8729281767955802,-0.0465633486281485
cg26412532,0.407850797,0.518748398,15.30889551,2.17e-44,1.8e-41,89.86845731,0.14757483,0.555425628,0.407850797,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.490481376,0.33,0.9397089397089397,hyper,0.9090909090909092,-0.0306180306180304
cg04203238,0.397378973,0.563978376,16.31099095,3.76e-49,8.18e-46,100.7890526,0.202334922,0.599713895,0.397378973,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.490392611,0.41,0.9484536082474228,hyper,0.9032258064516128,-0.0452278017958098
cg15835232,0.396693858,0.509379252,15.87736934,4.46e-47,6.34e-44,96.03156556,0.148359303,0.545053161,0.396693858,17,53343075,F,II,HLF,Body,shore,Body-shore,chr17:53342198-53343061,,,,,,0.489519584,0.27,0.9551020408163268,hyper,0.9319371727748692,-0.0231648680414576
cg15267232,0.416894211,0.60183044,18.13185186,4.720000000000001e-58,6.339999999999999e-54,121.2114435,0.222426716,0.639320927,0.416894211,10,8097689,F,I,GATA3,Body,island,Body-island,chr10:8091374-8098329,,,,,,0.487701812,0.33,0.9676113360323888,hyper,0.964467005076142,-0.0031443309562466
cg07302069,0.426054807,0.5203073,12.93235538,1.26e-33,1.41e-31,65.20911249,0.132566774,0.558621581,0.426054807,7,27196286,F,I,HOXA7,5'UTR,island,5'UTR-island,chr7:27195601-27196567,True,,high-CpG:27162728-27162853,,,0.4867648,0.28,0.9194915254237288,hyper,0.9319371727748692,0.0124456473511402
cg12630147,0.410054937,0.585328732,14.5391136,8.19e-41,3.41e-38,81.67137055,0.212149238,0.622204176,0.410054937,10,70321574,F,II,TET1,5'UTR,shore,5'UTR-shore,chr10:70320130-70320822,True,,,,,0.484668994,0.33,0.9508196721311476,hyper,0.9148936170212766,-0.035926055109871
cg15323528,0.417296074,0.499650354,16.15853505,2.0299999999999998e-48,3.6299999999999996e-45,99.11110559,0.119880905,0.537176979,0.417296074,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.484093302,0.23,0.9570552147239264,hyper,0.9484536082474226,-0.0086016064765037
cg14820199,0.396407419,0.620009157,13.93530785,4.5799999999999996e-38,1.1400000000000001e-35,75.37491714,0.259249887,0.655657306,0.396407419,4,11429415,R,II,HS3ST1,5'UTR,island,5'UTR-island,chr4:11429414-11429633,,,,,,0.483685543,0.37,0.9443298969072164,hyper,0.9148936170212766,-0.0294362798859397
cg10119075,0.415495678,0.596070155,15.81724256,8.62e-47,1.1500000000000001e-43,95.37561565,0.217939196,0.633434874,0.415495678,10,7709738,F,II,ITIH5,TSS1500,opensea,TSS1500-opensea,,,,,,,0.483559218,0.38,0.9506172839506172,hyper,0.9206349206349206,-0.0299823633156965
cg02029926,0.399465749,0.567971628,13.04010163,4.2799999999999995e-34,5.200000000000001e-32,66.28235253,0.204429058,0.603894807,0.399465749,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.483423726,0.28,0.9467213114754098,hyper,0.9206349206349206,-0.0260863908404892
cg07100000,0.39308665,0.582334602,15.3894824,9.089999999999999e-45,8.13e-42,90.73674873,0.22459747,0.617684121,0.39308665,5,170877840,F,II,FGF18,Body,island,Body-island,chr5:170877798-170878210,,,,,,0.483222542,0.41,0.9330543933054394,hyper,0.8972972972972972,-0.0357570960081421
cg13273396,0.423531102,0.561323882,13.49964233,4.0700000000000004e-36,6.98e-34,70.91179127,0.17588011,0.599411212,0.423531102,12,81471867,R,II,ACSS3,1stExon,island,1stExon-island,chr12:81471569-81472119,,,high-CpG:79995927-79996052,,,0.483213512,0.34,0.9217758985200843,hyper,0.8729281767955802,-0.0488477217245041
cg16596604,0.405527198,0.57377082,14.90756188,1.6299999999999997e-42,9.29e-40,85.57231036,0.204711895,0.610239094,0.405527198,16,21294947,R,I,CRYM,5'UTR,shore,5'UTR-shore,chr16:21294980-21295414,,,,,,0.482619714,0.32,0.952965235173824,hyper,0.9375,-0.015465235173824
cg24302235,0.438606613,0.499614019,13.98980323,2.6e-38,6.73e-36,75.93803793,0.100450447,0.53905706,0.438606613,3,170746073,R,II,SLC2A2,TSS1500,island,TSS1500-island,chr3:170746072-170746292,True,True,,,,0.482269913,0.19,0.9549180327868853,hyper,0.953846153846154,-0.0010718789407313
cg21526205,0.382585958,0.481895301,13.9876156,2.66e-38,6.87e-36,75.91541209,0.133714555,0.516300513,0.382585958,1,76540574,R,I,ST6GALNAC3,Body,island,Body-island,chr1:76540147-76540653,True,,,,,0.481788655,0.15,0.9637096774193548,hyper,0.9591836734693876,-0.004526003949967
cg25307318,0.393327522,0.63756941,16.10857405,3.52e-48,6e-45,98.56245538,0.279613068,0.67294059,0.393327522,10,123923081,R,II,TACC2,Body,island,Body-island,chr10:123922850-123923542,,True,high-CpG:123912997-123913135,,,0.48102831,0.39,0.9656565656565655,hyper,0.9375,-0.0281565656565655
cg23477967,0.417470394,0.525123241,13.21945486,7.030000000000001e-35,9.71e-33,68.07927109,0.145195148,0.562665542,0.417470394,2,188419087,F,II,TFPI,1stExon,opensea,1stExon-opensea,,,True,,,,0.480479799,0.25,0.931106471816284,hyper,0.9090909090909092,-0.0220155627253748
cg05661282,0.398763858,0.530144837,16.97684584,2.2599999999999998e-52,9.43e-49,108.1800028,0.167241039,0.566004896,0.398763858,19,58220370,R,I,ZNF154,5'UTR,island,5'UTR-island,chr19:58220189-58220517,True,,,,rs10559485,0.479850715,0.31,0.959349593495935,hyper,0.964467005076142,0.0051174115802071
cg24013620,0.398142935,0.525558254,15.5964511,9.609999999999999e-46,1.0399999999999998e-42,92.97504982,0.163219539,0.561362475,0.398142935,8,144798688,F,I,MAPK15,Body,island,Body-island,chr8:144798487-144799038,,True,,,,0.478020512,0.2,0.9718875502008032,hyper,0.9696969696969696,-0.0021905805038334
cg14936968,0.39834322,0.553075326,16.40118231,1.38e-49,3.2399999999999998e-46,101.7843133,0.190554338,0.588897558,0.39834322,3,57198533,F,I,IL17RD,Body,island,Body-island,chr3:57198243-57199378,,,,,,0.47717792,0.42,0.9375,hyper,0.8972972972972972,-0.0402027027027027
cg21799346,0.388708471,0.49078097,13.54312439,2.61e-36,4.61e-34,71.35407303,0.137028297,0.525736768,0.388708471,11,2905372,R,I,CDKN1C,Body,island,Body-island,chr11:2905023-2907024,,,,,rs68019446,0.476757335,0.3,0.9148936170212766,hyper,0.9319371727748692,0.0170435557535925
cg20384898,0.407466484,0.501571651,13.87984504,8.15e-38,1.92e-35,74.80288563,0.130747836,0.538214321,0.407466484,6,1625111,F,II,GMDS,Body,island,Body-island,chr6:1624185-1625468,True,,,,,0.475575052,0.24,0.9527720739219712,hyper,0.9148936170212766,-0.0378784569006945
cg02639634,0.399972538,0.585893088,15.53598859,1.85e-45,1.86e-42,92.31994852,0.221889303,0.621861841,0.399972538,8,54792161,F,II,RGS20,Body,island,Body-island,chr8:54791845-54795141,,,,,,0.475243393,0.31,0.9656565656565655,hyper,0.964467005076142,-0.0011895605804234
cg08421126,0.391410063,0.58952271,10.9789372,1.64e-25,5.2299999999999995e-24,46.65325629,0.233311394,0.624721457,0.391410063,2,43019854,R,II,HAAO,TSS200,island,TSS200-island,chr2:43019665-43020509,,,high-CpG:42873185-42873845,,,0.475001655,0.23,0.925,hyper,0.9263157894736842,0.0013157894736841
cg21623671,0.406364468,0.56861139,14.298712,1.03e-39,3.44e-37,79.14967405,0.198790489,0.605154957,0.406364468,5,150536851,F,II,ANXA6,5'UTR,shore,5'UTR-shore,chr5:150537019-150537418,,,,,,0.474970587,0.36,0.9355509355509356,hyper,0.9090909090909092,-0.0264600264600264
cg03796321,0.409456766,0.588017663,15.57293879,1.2399999999999999e-45,1.2999999999999998e-42,92.72017966,0.215382549,0.624839315,0.409456766,15,86162442,F,II,AKAP13,Body,opensea,Body-opensea,,,True,,rs16942230,,0.474016886,0.36,0.9551020408163268,hyper,0.9484536082474226,-0.0066484325689041
cg14188232,0.39077112,0.574677122,14.46488626,1.79e-40,6.99e-38,80.89072952,0.21904729,0.60981841,0.39077112,15,68724065,F,II,ITGA11,Body,island,Body-island,chr15:68723367-68724691,True,,,,,0.473818593,0.4,0.9355509355509356,hyper,0.9148936170212766,-0.020657318529659
cg23230584,0.38374278,0.489381656,16.94554524,3.2e-52,1.3099999999999999e-48,107.8304072,0.140148118,0.523890899,0.38374278,7,95025740,F,I,PON3,TSS200,island,TSS200-island,chr7:95025559-95026122,,,,,,0.473357328,0.29,0.952965235173824,hyper,0.9375,-0.015465235173824
