CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,cutpoint,F1,DNAm,F1_validate,F1_dif
cg07016276,0.40410256,0.567067634,17.24358989,1.13e-53,5.88e-50,111.1673678,0.199305233,0.603407793,0.40410256,6,29692009,F,I,HLA-F,Body,island,Body-island,chr6:29691106-29692093,True,True,,rs3087327,,0.473347128,0.35,0.959349593495935,hyper,0.9484536082474226,-0.0108959852485123
cg21883802,0.384787581,0.505551574,14.27291143,1.35e-39,4.390000000000001e-37,78.88018162,0.155367194,0.540154774,0.384787581,14,92413706,R,I,FBLN5,5'UTR,island,5'UTR-island,chr14:92413581-92414324,True,,,,,0.472369481,0.35,0.9148936170212766,hyper,0.8791208791208791,-0.0357727379003974
cg03317517,0.38401096,0.574920763,14.12391369,6.44e-39,1.86e-36,77.32829928,0.225443163,0.609454123,0.38401096,19,20188803,F,II,ZNF90,1stExon,opensea,1stExon-opensea,,True,,low-CpG:20049773-20049820,rs73536227,,0.47229751,0.33,0.9443298969072164,hyper,0.9206349206349206,-0.0236949762722957
cg10541755,0.404856435,0.549163219,15.22606734,5.32e-44,4.05e-41,88.977945,0.180714737,0.585571172,0.404856435,3,170625872,R,II,EIF5A2,5'UTR,island,5'UTR-island,chr3:170625831-170626841,,,,,,0.471703635,0.35,0.9330543933054394,hyper,0.9090909090909092,-0.0239634842145302
cg19788741,0.387815223,0.557672051,14.80691364,4.7699999999999995e-42,2.52e-39,84.50248034,0.204732297,0.59254752,0.387815223,5,101632310,F,I,SLCO4C1,TSS200,island,TSS200-island,chr5:101632049-101632373,True,,,,,0.471688796,0.27,0.9552845528455284,hyper,0.9381443298969072,-0.0171402229486212
cg05057720,0.38805398,0.523356677,14.81634277,4.3099999999999997e-42,2.29e-39,84.6025737,0.170199637,0.558253617,0.38805398,14,38724675,R,I,CLEC14A,1stExon,island,1stExon-island,chr14:38724254-38725537,,True,,,,0.470590324,0.2,0.9635627530364372,hyper,0.964467005076142,0.0009042520397049
cg02711647,0.413300997,0.516076931,14.11092536,7.37e-39,2.11e-36,77.19338106,0.13994329,0.553244287,0.413300997,2,45237689,R,I,SIX2,TSS1500,island,TSS1500-island,chr2:45235511-45237792,,,,,,0.469704983,0.22,0.9572301425661914,hyper,0.964467005076142,0.0072368625099507
cg04156293,0.395899983,0.546252972,13.86541168,9.46e-38,2.2100000000000002e-35,74.65420383,0.185955505,0.581855488,0.395899983,7,100488942,R,I,ACHE,Body,shore,Body-shore,chr7:100489981-100490365,,,,,,0.468009965,0.22,0.9678714859437751,hyper,0.9696969696969696,0.0018254837531945
cg27223047,0.398303501,0.62881197,14.07058172,1.1199999999999999e-38,3.09e-36,76.77467879,0.266327129,0.66463063,0.398303501,5,127874825,F,II,FBN2,TSS1500,island,TSS1500-island,chr5:127872563-127874945,,,,rs55770077,,0.46711309,0.3,0.9699398797595192,hyper,0.9424083769633508,-0.0275315027961683
cg19156875,0.407107078,0.562363236,14.70191434,1.46e-41,7.04e-39,83.38975048,0.191866507,0.598973585,0.407107078,17,43974446,R,I,MAPT,5'UTR,island,5'UTR-island,chr17:43971410-43975040,,,,,,0.466886753,0.3,0.9527720739219712,hyper,0.9484536082474226,-0.0043184656745485
cg13722431,0.386170284,0.546829967,16.76850358,2.32e-51,8.32e-48,105.8569221,0.195387227,0.581557511,0.386170284,6,2903533,F,I,SERPINB9,1stExon,island,1stExon-island,chr6:2903175-2903906,True,,high-CpG:2848460-2848554,rs2236275,,0.466804026,0.35,0.9614604462474644,hyper,0.9430051813471504,-0.0184552649003141
cg27494647,0.396712069,0.61421782,15.99224843,1.26e-47,1.97e-44,97.28741049,0.253181297,0.649893366,0.396712069,7,150038898,F,I,RARRES2,TSS200,island,TSS200-island,chr7:150037459-150039031,True,,,,,0.466097955,0.37,0.9572301425661914,hyper,0.9381443298969072,-0.0190858126692843
cg16786640,0.379878055,0.656338432,13.45875152,6.18e-36,1.03e-33,70.49652217,0.310622073,0.690500128,0.379878055,4,3485263,R,I,DOK7,Body,shore,Body-shore,chr4:3485963-3486381,,,,,,0.465381269,0.43,0.9399585921325052,hyper,0.9197860962566844,-0.0201724958758207
cg00536939,0.409704033,0.514341935,15.37203205,1.1e-44,9.61e-42,90.54857261,0.14148179,0.551185823,0.409704033,11,47279352,R,II,NR1H3,TSS200,opensea,TSS200-opensea,,True,True,,,,0.465295211,0.27,0.9462809917355371,hyper,0.9319371727748692,-0.014343818960668
cg00489401,0.39405976,0.701199502,16.72376517,3.83e-51,1.2900000000000001e-47,105.3592869,0.342576771,0.736636531,0.39405976,5,180075875,F,II,FLT4,Body,island,Body-island,chr5:180075688-180076906,,,,,,0.464824722,0.53,0.948665297741273,hyper,0.9375,-0.0111652977412729
cg26213453,0.396586415,0.58287851,15.43188911,5.74e-45,5.3099999999999995e-42,91.1943981,0.221956341,0.618542756,0.396586415,15,89455860,F,II,MFGE8,Body,shore,Body-shore,chr15:89456224-89456830,,,,,,0.464752539,0.28,0.9698189134808854,hyper,0.9381443298969072,-0.0316745835839783
cg18108623,0.398384926,0.541016655,12.77020825,6.34e-33,6.26e-31,63.60303406,0.178457712,0.576842638,0.398384926,17,33701321,R,II,SLFN11,TSS1500,island,TSS1500-island,chr17:33700989-33701657,,True,,,,0.46462549,0.28,0.9355509355509356,hyper,0.9206349206349206,-0.014916014916015
cg06263461,0.384253485,0.534546658,17.64573131,1.1899999999999999e-55,8.32e-52,115.6971964,0.184848342,0.569101827,0.384253485,20,45280237,F,I,SLC13A3,TSS200,shore,TSS200-shore,chr20:45279781-45280169,,,,,,0.464234377,0.41,0.937759336099585,hyper,0.9263157894736842,-0.0114435466259007
cg09300114,0.386726688,0.658671465,15.97716794,1.49e-47,2.28e-44,97.12236126,0.306722356,0.693449045,0.386726688,17,73084329,R,II,SLC16A5,5'UTR,island,5'UTR-island,chr17:73083866-73084495,,,,,,0.463647222,0.47,0.948665297741273,hyper,0.9206349206349206,-0.0280303771063523
cg13940444,0.386106097,0.630489489,15.17239219,9.49e-44,6.85e-41,88.40192301,0.279105164,0.665211261,0.386106097,12,53617382,R,II,RARG,Body,shelf,Body-shelf,chr12:53613716-53615103,True,True,,,,0.463473039,0.5,0.9171974522292994,hyper,0.9130434782608696,-0.0041539739684297
cg13482308,0.389731047,0.476278128,16.36497548,2.07e-49,4.72e-46,101.3845419,0.121594837,0.511325884,0.389731047,9,37002685,R,I,PAX5,Body,island,Body-island,chr9:37002489-37002957,,,,,,0.462908637,0.16,0.9717741935483872,hyper,0.97,-0.0017741935483872
cg05971966,0.374855558,0.578301172,16.90832439,4.86e-52,1.93e-48,107.4149548,0.237155646,0.612011204,0.374855558,5,40681137,F,I,PTGER4,Body,island,Body-island,chr5:40679502-40682081,True,,,,,0.459589552,0.38,0.959349593495935,hyper,0.9430051813471504,-0.0163444121487846
cg17395064,0.390403514,0.556021758,14.94494715,1.0899999999999998e-42,6.43e-40,85.97048293,0.200726474,0.591129988,0.390403514,12,104609476,R,I,TXNRD1,TSS200,island,TSS200-island,chr12:104609397-104610172,,,,,,0.458651251,0.3,0.959349593495935,hyper,0.9430051813471504,-0.0163444121487846
cg06716182,0.389999041,0.495744692,11.29266781,9.2e-27,3.4899999999999998e-25,49.50934901,0.140817507,0.530816548,0.389999041,11,96074944,F,II,MAML2,1stExon,opensea,1stExon-opensea,,,True,,,,0.458055593,0.18,0.9175475687103596,hyper,0.9032258064516128,-0.0143217622587467
cg04931383,0.386946908,0.636960919,15.41023414,7.259999999999999e-45,6.549999999999999e-42,90.96063673,0.284811394,0.671758303,0.386946908,4,37978731,R,II,TBC1D1,Body,island,Body-island,chr4:37978702-37979595,,,,,,0.457306596,0.48,0.9352818371607516,hyper,0.9032258064516128,-0.0320560307091387
cg14102988,0.397848045,0.508560546,13.55235796,2.3700000000000002e-36,4.23e-34,71.44808523,0.146490203,0.544338248,0.397848045,9,113801337,R,II,LPAR1,TSS1500,island,TSS1500-island,chr9:113799913-113801375,,,high-CpG:112840107-112841306,,,0.457010748,0.2,0.952965235173824,hyper,0.9263157894736842,-0.0266494457001398
cg20486569,0.396307054,0.636266014,15.47364674,3.6499999999999997e-45,3.51e-42,91.64553262,0.275598083,0.671905137,0.396307054,22,19512228,F,II,CLDN5,1stExon,island,1stExon-island,chr22:19510871-19512254,,,,,,0.456408755,0.5,0.9217758985200843,hyper,0.8729281767955802,-0.0488477217245041
cg02032778,0.409746377,0.530437612,10.80665716,7.77e-25,2.2799999999999997e-23,45.10686626,0.157538931,0.567285308,0.409746377,7,29186228,F,II,CPVL,TSS200,opensea,TSS200-opensea,,,True,,rs245880,,0.456113385,0.2,0.9171974522292994,hyper,0.8901098901098902,-0.0270875621194092
cg03306374,0.408407254,0.497324435,13.19428172,9.060000000000001e-35,1.23e-32,67.82628901,0.125644451,0.534051706,0.408407254,16,23847325,R,I,PRKCB,1stExon,island,1stExon-island,chr16:23846941-23848102,True,,high-CpG:23754772-23755017,,,0.455578331,0.23,0.926315789473684,hyper,0.9032258064516128,-0.0230899830220711
cg03679305,0.398612311,0.51433902,14.16514675,4.18e-39,1.25e-36,77.75700005,0.15157314,0.55018545,0.398612311,1,9129487,F,II,SLC2A5,Body,shelf,Body-shelf,chr1:9131602-9131909,,True,low-CpG:9051939-9052394,,,0.45552062,0.28,0.9440993788819876,hyper,0.932642487046632,-0.0114568918353554
cg13782615,0.39521106,0.568409374,13.98068659,2.86e-38,7.35e-36,75.84375905,0.208738877,0.603949937,0.39521106,11,4079556,F,II,STIM1,Body,opensea,Body-opensea,,,True,,,,0.455359693,0.4,0.926315789473684,hyper,0.8983957219251336,-0.0279200675485503
cg12161228,0.374806154,0.508683851,14.72801786,1.1e-41,5.51e-39,83.66605981,0.167583287,0.542389441,0.374806154,11,89224506,R,I,NOX4,1stExon,island,1stExon-island,chr11:89224416-89224718,,True,,,,0.454733011,0.2,0.96579476861167,hyper,0.9489795918367346,-0.0168151767749353
cg07330230,0.396037435,0.484941842,12.24450409,1.11e-30,7.560000000000001e-29,58.47334642,0.124519284,0.520556719,0.396037435,3,125899925,F,I,ALDH1L1,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,True,,,,0.454430407,0.13,0.9572301425661914,hyper,0.98,0.0227698574338085
cg06679087,0.376262158,0.540485243,13.28982546,3.4500000000000004e-35,5.05e-33,68.7878009,0.198059609,0.574321768,0.376262158,10,99473206,R,I,MARVELD1,TSS1500,island,TSS1500-island,chr10:99473084-99473291,,,,,,0.454109165,0.32,0.919831223628692,hyper,0.9139784946236558,-0.0058527290050361
cg23108709,0.385975182,0.594830224,16.03283806,8.09e-48,1.31e-44,97.73193001,0.24356504,0.629540222,0.385975182,2,219847136,R,I,FEV,Body,island,Body-island,chr2:219846291-219847137,,,,,,0.454051289,0.41,0.9527720739219712,hyper,0.9206349206349206,-0.0321371532870505
cg11574975,0.383056044,0.492316802,15.34238668,1.51e-44,1.28e-41,90.22908808,0.143708245,0.526764288,0.383056044,1,112058304,R,I,ADORA3,Body,island,Body-island,chr1:112058184-112058590,True,True,,,,0.453745335,0.16,0.967741935483871,hyper,0.9850746268656716,0.0173326913818006
cg20162652,0.375544757,0.557521277,10.78642148,9.33e-25,2.7e-23,44.92627342,0.215748531,0.591293287,0.375544757,12,66629018,R,II,IRAK3,Body,opensea,Body-opensea,,,,,,,0.452482389,0.25,0.9291666666666666,hyper,0.9197860962566844,-0.009380570409982
cg21899596,0.374236505,0.702887738,14.87442241,2.3199999999999998e-42,1.28e-39,85.21971399,0.362305595,0.736542099,0.374236505,4,57522493,R,II,HOPX,1stExon,island,1stExon-island,chr4:57521621-57522703,True,,high-CpG:57216994-57217416,,,0.452014716,0.6,0.9178947368421052,hyper,0.8729281767955802,-0.0449665600465249
cg12507655,0.377698772,0.562152741,14.84368748,3.22e-42,1.74e-39,84.89300248,0.218419685,0.596118458,0.377698772,7,100465051,R,I,TRIP6,1stExon,shore,1stExon-shore,chr7:100463758-100464146,,,,,,0.451066941,0.38,0.931106471816284,hyper,0.9263157894736842,-0.0047906823425998
cg08320659,0.370388283,0.465447439,10.08297577,4.55e-22,9.54e-21,38.78936636,0.128367455,0.498755738,0.370388283,6,26088202,R,II,HFE,Body,opensea,Body-opensea,,True,True,,,,0.450968583,0.19,0.9017094017094016,hyper,0.8852459016393442,-0.0164635000700573
cg07251099,0.378065431,0.499083257,12.41750753,2.0500000000000003e-31,1.57e-29,60.14809726,0.155016516,0.533081947,0.378065431,3,112052405,F,II,CD200,Body,island,Body-island,chr3:112051893-112052406,,,,,,0.450854847,0.28,0.9333333333333336,hyper,0.8901098901098902,-0.0432234432234434
cg13506653,0.370669118,0.478476884,9.47508617,7.64e-20,1.25e-18,33.71778261,0.141141319,0.511810437,0.370669118,4,54965863,F,I,GSX2,TSS1500,shore,TSS1500-shore,chr4:54966163-54968063,True,,,,,0.450021229,0.17,0.8898488120950324,hyper,0.9139784946236558,0.0241296825286233
cg10446179,0.388711073,0.458750567,12.2040024,1.64e-30,1.09e-28,58.08321482,0.104995526,0.493706599,0.388711073,6,121758653,R,II,GJA1,5'UTR,opensea,5'UTR-opensea,,,,,,,0.449616584,0.1,0.9551020408163268,hyper,0.9746192893401014,0.0195172485237746
cg18726691,0.379444611,0.623043185,14.48052482,1.52e-40,6e-38,81.05504901,0.277721291,0.657165902,0.379444611,15,90039613,R,II,RHCG,1stExon,island,1stExon-island,chr15:90039464-90039984,True,True,,,,0.447694587,0.52,0.905982905982906,hyper,0.8729281767955802,-0.0330547291873257
cg14904662,0.382889816,0.605949558,14.63396762,3e-41,1.3799999999999999e-38,82.67153561,0.257492279,0.640382095,0.382889816,8,41655673,R,I,ANK1,TSS1500,island,TSS1500-island,chr8:41654875-41655984,True,True,,,,0.447454124,0.39,0.9443298969072164,hyper,0.9270833333333334,-0.0172465635738829
cg20072171,0.386960506,0.520686004,12.43537568,1.7200000000000002e-31,1.33e-29,60.3218275,0.168524105,0.555484611,0.386960506,3,62356962,R,I,FEZF2,Body,island,Body-island,chr3:62356773-62357315,,,,,,0.445741834,0.37,0.8864628820960699,hyper,0.9032258064516128,0.0167629243555429
cg13803976,0.373802887,0.571258915,14.66066754,2.2599999999999999e-41,1.06e-38,82.95358601,0.231071396,0.604874283,0.373802887,2,87016129,R,II,CD8A,Body,island,Body-island,chr2:87015974-87018182,,,,,,0.445357568,0.32,0.9614604462474644,hyper,0.9214659685863876,-0.0399944776610768
cg07891473,0.370686018,0.476764613,13.37551828,1.44e-35,2.26e-33,69.65322097,0.139413669,0.510099687,0.370686018,3,64670640,R,II,ADAMTS9,Body,shore,Body-shore,chr3:64671087-64673957,,,,,,0.443509496,0.22,0.9531568228105906,hyper,0.9375,-0.0156568228105905
cg16642281,0.371443321,0.607734383,13.33997235,2.07e-35,3.17e-33,69.29389231,0.269694238,0.641137559,0.371443321,4,109034555,F,II,LEF1,Body,opensea,Body-opensea,,,True,,,,0.441525716,0.39,0.93801652892562,hyper,0.9052631578947368,-0.0327533710308831
cg22806907,0.379415638,0.4440507,12.31220282,5.7200000000000005e-31,4.1000000000000003e-29,59.12710633,0.098755173,0.478170811,0.379415638,17,40826212,F,I,PLEKHH3,Body,shore,Body-shore,chr17:40827975-40828659,,True,,,,0.438624537,0.11,0.959349593495935,hyper,0.9591836734693876,-0.0001659200265472
cg06248767,0.389988474,0.548965862,14.46524586,1.79e-40,6.97e-38,80.89450703,0.194048294,0.584036768,0.389988474,8,56852290,R,I,LYN,5'UTR,opensea,5'UTR-opensea,,,True,,,,0.438217766,0.31,0.9591836734693876,hyper,0.9375,-0.0216836734693876
cg07676859,0.387542946,0.495350879,13.95873792,3.59e-38,9.05e-36,75.61689959,0.142658917,0.530201863,0.387542946,20,23015932,R,I,SSTR4,TSS200,island,TSS200-island,chr20:23015716-23016879,,,,,,0.43766027,0.18,0.9570552147239264,hyper,0.9591836734693876,0.0021284587454613
cg00349607,0.384334453,0.51714262,13.7388458,3.5e-37,7.300000000000001e-35,73.35364556,0.167370617,0.551705071,0.384334453,1,39546688,R,I,MACF1,TSS1500,shore,TSS1500-shore,chr1:39547013-39547959,True,,,,,0.436877342,0.17,0.972,hyper,0.9702970297029702,-0.0017029702970298
cg14619259,0.37808919,0.471006768,12.28613145,7.380000000000001e-31,5.2e-29,58.87509364,0.126918404,0.505007594,0.37808919,5,141705539,F,I,SPRY4,TSS1500,island,TSS1500-island,chr5:141705391-141705688,,,,,,0.436728677,0.26,0.9175475687103596,hyper,0.9090909090909092,-0.0084566596194504
cg05306745,0.375457961,0.604337359,14.4752474,1.61e-40,6.32e-38,80.99958852,0.262643604,0.638101565,0.375457961,17,76921845,F,I,TIMP2,TSS1500,island,TSS1500-island,chr17:76920684-76921961,,,,rs8179090,rs36099107,0.436716587,0.37,0.9443298969072164,hyper,0.9381443298969072,-0.0061855670103092
cg09025324,0.371570756,0.547645571,13.08560032,2.71e-34,3.41e-32,66.73697542,0.209489451,0.581060207,0.371570756,6,116691685,R,II,DSE,TSS1500,shore,TSS1500-shore,chr6:116691827-116692868,,,,,,0.436608412,0.38,0.9125799573560768,hyper,0.8826815642458101,-0.0298983931102666
cg01799671,0.381307168,0.622732844,13.62335794,1.15e-36,2.17e-34,72.17204677,0.275715889,0.657023057,0.381307168,16,81560752,R,II,CMIP,Body,opensea,Body-opensea,,,True,,,,0.43658401,0.41,0.9397089397089397,hyper,0.91005291005291,-0.0296560296560295
cg14621217,0.394938213,0.580172094,16.26555572,6.22e-49,1.28e-45,100.2884035,0.220749907,0.61568812,0.394938213,17,80944134,F,II,B3GNTL1,Body,opensea,Body-opensea,,True,,,rs9916813,,0.434296691,0.37,0.948665297741273,hyper,0.9319371727748692,-0.0167281249664038
cg22635676,0.370083502,0.691364811,15.99694388,1.2e-47,1.88e-44,97.33881189,0.3545622,0.724645702,0.370083502,2,241975971,F,I,SNED1,Body,island,Body-island,chr2:241975533-241976318,True,,,rs73110161,,0.434079767,0.54,0.9484536082474228,hyper,0.9032258064516128,-0.0452278017958098
cg07635623,0.380767812,0.467793041,16.42883398,1.02e-49,2.49e-46,102.0898303,0.121266938,0.50203475,0.380767812,6,2841875,R,I,SERPINB1,5'UTR,island,5'UTR-island,chr6:2841810-2842273,True,,,,,0.433248725,0.31,0.943866943866944,hyper,0.9263157894736842,-0.0175511543932598
cg12840719,0.379115813,0.507178445,12.276115,8.13e-31,5.7e-29,58.77835314,0.162155781,0.541271594,0.379115813,9,21968233,R,II,CDKN2A,Body,shore,Body-shore,chr9:21968358-21968728,,True,,,rs72549205,0.431954301,0.18,0.9614604462474644,hyper,0.9489795918367346,-0.0124808544107297
cg05644921,0.373854113,0.618464019,14.33286601,7.21e-40,2.4800000000000003e-37,79.50676438,0.27822988,0.652083993,0.373854113,4,141489114,R,II,UCP1,Body,shore,Body-shore,chr4:141489962-141490378,,True,,,,0.431338357,0.4,0.9402061855670104,hyper,0.9278350515463918,-0.0123711340206186
cg06274159,0.381355554,0.529581917,11.66106825,2.94e-28,1.39e-26,52.92694652,0.182520927,0.563876482,0.381355554,4,188916867,R,II,ZFP42,TSS200,island,TSS200-island,chr4:188916605-188916876,,,,,,0.431084302,0.27,0.926315789473684,hyper,0.9090909090909092,-0.0172248803827748
cg10588135,0.381029724,0.53478899,15.27137615,3.26e-44,2.59e-41,89.46483087,0.188024529,0.569054253,0.381029724,17,59329903,R,II,BCAS3,Body,opensea,Body-opensea,,True,True,,,,0.430929813,0.3,0.9506172839506172,hyper,0.936842105263158,-0.0137751786874592
cg07834955,0.400619607,0.44947921,12.24033781,1.15e-30,7.840000000000001e-29,58.43318055,0.084886546,0.485506153,0.400619607,10,99531879,F,I,SFRP5,TSS200,island,TSS200-island,chr10:99531025-99531968,True,,,,,0.430652495,0.16,0.9240506329113924,hyper,0.9090909090909092,-0.0149597238204832
cg18525352,0.37442769,0.625537307,14.84042621,3.3299999999999995e-42,1.8e-39,84.85835239,0.284781172,0.659208862,0.37442769,12,106533867,R,I,NUAK1,TSS200,shore,TSS200-shore,chr12:106532106-106533696,,,,,,0.430646473,0.36,0.9616161616161616,hyper,0.9484536082474226,-0.0131625533687389
cg22488256,0.380415353,0.547260828,13.80544888,1.76e-37,3.9e-35,74.03731606,0.201055489,0.581470842,0.380415353,1,66258046,R,II,PDE4B,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,,0.429955349,0.32,0.9440993788819876,hyper,0.9312169312169312,-0.0128824476650564
cg01643123,0.383717394,0.53153972,13.73494263,3.64e-37,7.580000000000001e-35,73.31363042,0.182329286,0.56604668,0.383717394,12,63207179,R,I,PPM1H,Body,opensea,Body-opensea,,True,,,,,0.427052954,0.31,0.9352818371607516,hyper,0.9375,0.0022181628392483
cg08076018,0.374996153,0.468374151,11.16838883,2.89e-26,1.03e-24,48.37186104,0.127100674,0.502096826,0.374996153,9,129885080,F,II,ANGPTL2,TSS200,opensea,TSS200-opensea,,,,,,,0.426631499,0.12,0.9404517453798767,hyper,0.922279792746114,-0.0181719526337627
cg24530250,0.373224686,0.464980064,11.49677677,1.3800000000000002e-27,5.89e-26,51.39449886,0.125318749,0.498543435,0.373224686,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.426155064,0.11,0.9698189134808854,hyper,0.97,0.0001810865191145
cg00744866,0.375395642,0.543952058,11.57609422,6.55e-28,2.9300000000000003e-26,52.13268451,0.202315017,0.577710659,0.375395642,3,33701209,F,II,CLASP2,Body,opensea,Body-opensea,,,True,,,,0.426153061,0.29,0.9194915254237288,hyper,0.9263157894736842,0.0068242640499553
cg05102394,0.380603779,0.548771802,14.15018782,4.8899999999999997e-39,1.45e-36,77.60140405,0.202394981,0.582998761,0.380603779,4,148402899,R,II,EDNRA,Body,shore,Body-shore,chr4:148402198-148402760,,True,,,,0.424158193,0.43,0.8980477223427332,hyper,0.8826815642458101,-0.0153661580969231
cg25726664,0.370800239,0.535559751,13.62479966,1.13e-36,2.1399999999999997e-34,72.1867671,0.198104858,0.568905096,0.370800239,7,42277807,F,I,GLI3,TSS1500,island,TSS1500-island,chr7:42276003-42277850,,,,,,0.421996148,0.3,0.9419087136929462,hyper,0.9375,-0.0044087136929461
cg22598028,0.373402288,0.424717498,10.490866,1.2999999999999998e-23,3.26e-22,42.31405117,0.084894552,0.45829684,0.373402288,3,44626492,R,II,ZNF660,5'UTR,island,5'UTR-island,chr3:44626325-44626794,True,,,,,0.421660978,0.09,0.948665297741273,hyper,0.9312169312169312,-0.0174483665243417
cg09489281,0.373999209,0.461284721,10.72717358,1.5899999999999999e-24,4.4699999999999996e-23,44.39878981,0.120918534,0.494917743,0.373999209,5,43604149,R,I,NNT,5'UTR,shore,5'UTR-shore,chr5:43602977-43603650,True,,,,,0.420882956,0.19,0.9148936170212764,hyper,0.9484536082474226,0.0335599912261462
cg00397324,0.390312992,0.437394688,12.47737248,1.14e-31,9.12e-30,60.73071171,0.082181785,0.472494777,0.390312992,21,42798594,F,I,MX1,5'UTR,island,5'UTR-island,chr21:42798146-42798884,True,True,,,,0.420003414,0.22,0.91220556745182,hyper,0.9263157894736842,0.0141102220218641
cg20640433,0.371490234,0.488143714,10.23884337,1.18e-22,2.650000000000001e-21,40.12503128,0.150060875,0.521551109,0.371490234,6,129204206,R,II,LAMA2,TSS200,opensea,TSS200-opensea,,True,True,,,,0.418918456,0.25,0.8864628820960699,hyper,0.9139784946236558,0.0275156125275858
cg23083315,0.377832241,0.431588919,12.40291151,2.36e-31,1.7900000000000001e-29,60.00628627,0.087734398,0.465566638,0.377832241,11,35639656,R,I,FJX1,TSS200,island,TSS200-island,chr11:35639629-35641485,,,,,,0.416856955,0.2,0.9145299145299146,hyper,0.936842105263158,0.0223121907332433
cg10740054,0.3773535,0.43000548,11.61224272,4.66e-28,2.13e-26,52.4701368,0.086586647,0.463940147,0.3773535,19,18548004,F,II,ISYNA1,Body,island,Body-island,chr19:18543828-18549161,,,,,,0.41493976,0.1,0.9465020576131686,hyper,0.932642487046632,-0.0138595705665365
cg01163842,0.375281479,0.651506794,14.80427844,4.9e-42,2.59e-39,84.47451171,0.309973649,0.685255128,0.375281479,14,95235125,F,I,GSC,Body,island,Body-island,chr14:95234612-95236569,True,True,,,,0.408227422,0.56,0.913684210526316,hyper,0.8804347826086957,-0.0332494279176203
cg09235583,0.371606502,0.478473078,12.30237529,6.299999999999999e-31,4.4800000000000004e-29,59.03207502,0.140284426,0.511890928,0.371606502,6,30711141,F,II,IER3,3'UTR,island,3'UTR-island,chr6:30710307-30712440,,,,,,0.401576171,0.27,0.9171974522292994,hyper,0.8852459016393442,-0.0319515505899551
cg11863717,0.380653389,0.515054209,12.12755974,3.43e-30,2.17e-28,57.34891655,0.16863224,0.549285629,0.380653389,10,73725041,R,I,CHST3,5'UTR,shore,5'UTR-shore,chr10:73723711-73724770,True,,,,,0.400845118,0.34,0.8937093275488069,hyper,0.8636363636363636,-0.0300729639124432
