gene,BP,CC,MF
FLOT1,"['GO:0007409', 'GO:1901741', 'GO:0035023', 'GO:0001819', 'GO:0001765', 'GO:0001934']","['GO:0005925', 'GO:0045121', 'GO:0005886', 'GO:0070062', 'GO:0042383', 'GO:0005912', 'GO:0016323', 'GO:0005901', 'GO:0016020', 'GO:0030864', 'GO:0042470', 'GO:0005815', 'GO:0098978', 'GO:0005911', 'GO:0044291', 'GO:0005769', 'GO:0031410']","['GO:0005515', 'GO:0002020']"
FLT4,"['GO:0001525', 'GO:0007169', 'GO:0007275', 'GO:0018108', 'GO:0043066', 'GO:0008284', 'GO:0043410', 'GO:0042127', 'GO:0070374', 'GO:0046777', 'GO:0010595', 'GO:0030335', 'GO:0001938', 'GO:0001934']","['GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0005654', 'GO:0005829', 'GO:0043235']","['GO:0005515', 'GO:0042803']"
FPR2,"['GO:0007155', 'GO:0032930', 'GO:0050766', 'GO:0006954', 'GO:0050728', 'GO:0007204', 'GO:0006935', 'GO:0070374', 'GO:0007193', 'GO:0002768', 'GO:0001934']","['GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0035579']","['GO:0001540', 'GO:0005515']"
GATA3,"['GO:0000122', 'GO:0009410', 'GO:0045944', 'GO:0008285', 'GO:0045471', 'GO:0030154', 'GO:0048485', 'GO:0009653', 'GO:0006954', 'GO:0045892', 'GO:0071773', 'GO:0043627', 'GO:0050728', 'GO:0007411', 'GO:0006366', 'GO:0006952', 'GO:0001701', 'GO:0043523', 'GO:0071356', 'GO:0045165', 'GO:0048589', 'GO:0045893', 'GO:0007165', 'GO:0010595', 'GO:0008584', 'GO:0001817', 'GO:0001822', 'GO:0001764']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0008270', 'GO:0071837', 'GO:0003677', 'GO:0061629']"
GATA6,"['GO:0000122', 'GO:0009410', 'GO:0045944', 'GO:0042475', 'GO:0030154', 'GO:0009653', 'GO:0006357', 'GO:0045892', 'GO:0043066', 'GO:0071773', 'GO:0043627', 'GO:0048513', 'GO:0001701', 'GO:0055007', 'GO:0010467', 'GO:0045165', 'GO:0045893', 'GO:1902894', 'GO:0098773', 'GO:0008584']","['GO:0000785', 'GO:0005667', 'GO:0005654', 'GO:0005634']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0008270', 'GO:0019901', 'GO:0003682', 'GO:0003677']"
GCM2,"['GO:0045944', 'GO:0006874', 'GO:0006357', 'GO:0048856', 'GO:0006366']","['GO:0000785', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003677']"
GDF15,"['GO:0043410', 'GO:0030509', 'GO:0007267', 'GO:1901741', 'GO:0007165', 'GO:0060395']","['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0005737', 'GO:0005794', 'GO:0005634']","['GO:0005515', 'GO:0042803']"
GJA1,"['GO:0001649', 'GO:0042733', 'GO:0035633', 'GO:0010628', 'GO:0007267', 'GO:2000648', 'GO:0001701', 'GO:0034220', 'GO:0007165', 'GO:0043123', 'GO:0008584', 'GO:0034775', 'GO:0001764']","['GO:0005925', 'GO:0045121', 'GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0016328', 'GO:0005829', 'GO:0044291', 'GO:0016324']","['GO:0097110', 'GO:0008013', 'GO:0005102', 'GO:0005515', 'GO:0022857', 'GO:1990782', 'GO:0034634']"
GLI3,"['GO:0000122', 'GO:0045944', 'GO:0008285', 'GO:0042475', 'GO:0032331', 'GO:0001649', 'GO:0072089', 'GO:0006357', 'GO:0042733', 'GO:0002062', 'GO:0045892', 'GO:0043066', 'GO:0043627', 'GO:0007411', 'GO:0048566', 'GO:0001701', 'GO:0007224', 'GO:2000647', 'GO:0032332', 'GO:0030318', 'GO:0048589', 'GO:0045893', 'GO:0042060', 'GO:0021631', 'GO:0097421', 'GO:0021798', 'GO:0021861']","['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0017053', 'GO:0016607']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0008013', 'GO:0005515', 'GO:0003700', 'GO:0003682', 'GO:0000977', 'GO:0042826']"
GMDS,['GO:0007219'],"['GO:0070062', 'GO:0005737', 'GO:0005829']",['GO:0005515']
GNA12,"['GO:0009410', 'GO:0030154', 'GO:0042733', 'GO:0001701', 'GO:0008360']","['GO:0005925', 'GO:0043025', 'GO:0005886', 'GO:0005737', 'GO:0043005', 'GO:0016328']","['GO:0005515', 'GO:0051721']"
GNL3,"['GO:0008283', 'GO:0033235', 'GO:0042127']","['GO:0005615', 'GO:0016020', 'GO:0005634']",['GO:0005515']
GRHL3,"['GO:0045944', 'GO:0007389', 'GO:0006357', 'GO:0001843', 'GO:0010628', 'GO:0006366', 'GO:0042060', 'GO:0032956']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515']"
GRIA1,"['GO:0009410', 'GO:0010628', 'GO:0034220', 'GO:0035235', 'GO:0099505', 'GO:0007165', 'GO:0001919', 'GO:0060992', 'GO:0019228']","['GO:0009986', 'GO:0043025', 'GO:0005886', 'GO:0045211', 'GO:0043197', 'GO:0098978', 'GO:0031594', 'GO:0005911', 'GO:0030666', 'GO:0030425']","['GO:0097110', 'GO:0001540', 'GO:0005515', 'GO:0015276', 'GO:0019901', 'GO:0004970', 'GO:0051018', 'GO:0001965']"
GRIK3,"['GO:0034220', 'GO:0035235', 'GO:0099505']","['GO:0005887', 'GO:0005886', 'GO:0045211', 'GO:0042734', 'GO:0030424', 'GO:0098978', 'GO:0030425']","['GO:0015276', 'GO:0004970']"
GRIN2A,"['GO:0009410', 'GO:0045471', 'GO:0097202', 'GO:0097553', 'GO:0043065', 'GO:0019233', 'GO:0035235', 'GO:0022008', 'GO:0001975']","['GO:0009986', 'GO:0005887', 'GO:0005886', 'GO:0045211', 'GO:0042734', 'GO:0043005', 'GO:0043197', 'GO:0098978']","['GO:0001540', 'GO:0005515', 'GO:0008270', 'GO:0015276', 'GO:0004970']"
GSC,"['GO:0000122', 'GO:0042474', 'GO:0006357', 'GO:0030178', 'GO:0016055']","['GO:0000785', 'GO:0005667', 'GO:0005634']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0061629']"
GSTM2,"['GO:0051122', 'GO:0043651', 'GO:0098869']","['GO:0070062', 'GO:0005737', 'GO:0005829']","['GO:0005102', 'GO:0005515', 'GO:0042803']"
GSTP1,"['GO:0032930', 'GO:0051122', 'GO:0043066', 'GO:0043407', 'GO:0043651', 'GO:0043124', 'GO:0071222', 'GO:0070372', 'GO:0098869']","['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0005737', 'GO:0005634', 'GO:0005829', 'GO:0034774']",['GO:0005515']
GSX2,"['GO:0006357', 'GO:0030334', 'GO:0048665', 'GO:0021575', 'GO:0007219', 'GO:0021798']","['GO:0000785', 'GO:0005737', 'GO:0005634']","['GO:1990837', 'GO:0000981', 'GO:0003700', 'GO:0003677']"
HCK,"['GO:0030154', 'GO:0007155', 'GO:0007169', 'GO:0006954', 'GO:0018108', 'GO:0043066', 'GO:0008284', 'GO:0046777', 'GO:0032956', 'GO:0035556', 'GO:0008360', 'GO:0006468', 'GO:0051179']","['GO:0005925', 'GO:0005886', 'GO:0005737', 'GO:0005901', 'GO:0005794', 'GO:0005634', 'GO:0005829', 'GO:0005856', 'GO:0005884', 'GO:0009898']","['GO:0005102', 'GO:0005515']"
HDAC4,"['GO:0000122', 'GO:0009410', 'GO:0045944', 'GO:0008285', 'GO:0006954', 'GO:0045892', 'GO:0008284', 'GO:0033235', 'GO:0002076', 'GO:0071356', 'GO:0045893', 'GO:1902894', 'GO:0007399', 'GO:0071260', 'GO:0042113', 'GO:0070555']","['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0031594', 'GO:0017053', 'GO:0016607']","['GO:0000978', 'GO:0005515', 'GO:0008270', 'GO:0019901', 'GO:0042826', 'GO:0003677', 'GO:0061629']"
HFE,"['GO:0030509', 'GO:0010628', 'GO:0001916', 'GO:0098711', 'GO:0097421', 'GO:0002725']","['GO:0005887', 'GO:0005615', 'GO:0005886', 'GO:0005654', 'GO:0048471', 'GO:0005769', 'GO:0031410']","['GO:0005102', 'GO:0005515']"
HIF3A,"['GO:0001525', 'GO:0006915', 'GO:0006357', 'GO:0006366']","['GO:0000785', 'GO:0005886', 'GO:0005654', 'GO:0005829', 'GO:0016607']","['GO:0000978', 'GO:0000981', 'GO:0000977', 'GO:0003677']"
HLA-F,"['GO:0001916', 'GO:0002725']","['GO:0009986', 'GO:0005615', 'GO:0005886', 'GO:0016020']","['GO:0005102', 'GO:0005515']"
HLF,"['GO:0045944', 'GO:0007275', 'GO:0006357']","['GO:0000785', 'GO:0005654', 'GO:0005634', 'GO:0090575']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0003677']"
HMCN1,['GO:0007601'],"['GO:0070062', 'GO:0005737', 'GO:0005912', 'GO:0005604']","['GO:0005515', 'GO:0005509', 'GO:0005201']"
HMGCL,['GO:0046951'],['GO:0005829'],
HOPX,"['GO:0000122', 'GO:0006357', 'GO:0045596']","['GO:0000785', 'GO:0005737', 'GO:0005634']","['GO:0005515', 'GO:0003677']"
HOXA7,"['GO:0000122', 'GO:0045944', 'GO:0001525', 'GO:0006357', 'GO:0045892', 'GO:0001953']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515']"
HOXC4,"['GO:0045944', 'GO:0006357']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0071837', 'GO:0003677']"
IER3,"['GO:0006915', 'GO:0009653', 'GO:0043066', 'GO:0050728', 'GO:0006974']","['GO:0016020', 'GO:0005634', 'GO:0005829']",['GO:0005515']
IFI16,"['GO:0000122', 'GO:0045944', 'GO:0097202', 'GO:0006954', 'GO:0045892', 'GO:0010506', 'GO:0032731', 'GO:0001819']","['GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0016607']",['GO:0005515']
IL17RD,['GO:0030512'],"['GO:0005886', 'GO:0005794', 'GO:0005654']",
IRAK3,"['GO:0032088', 'GO:0043407', 'GO:0046777', 'GO:0035556', 'GO:0071222', 'GO:0001819', 'GO:0006468', 'GO:0070555']","['GO:0005886', 'GO:0005737', 'GO:0005634']","['GO:0005515', 'GO:0042803', 'GO:0019901']"
ITGA11,"['GO:0007155', 'GO:0001649', 'GO:0030198', 'GO:0007160']","['GO:0005925', 'GO:0005886', 'GO:0016020']",['GO:0005178']
ITGBL1,"['GO:0007155', 'GO:0016477', 'GO:0007160']","['GO:0009986', 'GO:0005925', 'GO:0005576', 'GO:0005886']",['GO:0005178']
KCNH2,"['GO:0086010', 'GO:0045893']","['GO:0009986', 'GO:0005887', 'GO:0005886', 'GO:0048471']","['GO:0097110', 'GO:0005515', 'GO:0042803']"
LAMA2,"['GO:0007155', 'GO:0035633', 'GO:0007411', 'GO:0030334']","['GO:0005576', 'GO:0042383', 'GO:0016020', 'GO:0043197', 'GO:0031594', 'GO:0005604']","['GO:0005102', 'GO:0005201']"
LCP2,"['GO:0007169', 'GO:0035556']","['GO:0044853', 'GO:0005829', 'GO:0005911']",['GO:0005515']
LDB1,"['GO:0000122', 'GO:0045944', 'GO:0007155', 'GO:0006357', 'GO:0045892', 'GO:0006366', 'GO:0030334', 'GO:0016055', 'GO:0007399']","['GO:0000785', 'GO:0005667', 'GO:0005654', 'GO:0005634', 'GO:0031252']","['GO:0005515', 'GO:0042803', 'GO:0003682', 'GO:0003677', 'GO:0061629']"
LEF1,"['GO:0000122', 'GO:0045944', 'GO:0042475', 'GO:0001649', 'GO:0006357', 'GO:0045892', 'GO:0043066', 'GO:0008284', 'GO:0030509', 'GO:0010628', 'GO:0060070', 'GO:0006366', 'GO:0021542', 'GO:0045893', 'GO:0016055', 'GO:0001569', 'GO:0030335', 'GO:0021861']","['GO:0005737', 'GO:0005667', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0008013', 'GO:0005515', 'GO:0003700', 'GO:0045295', 'GO:0003682', 'GO:0000977', 'GO:0042826', 'GO:0003677']"
LPAR1,"['GO:0043410', 'GO:0043065', 'GO:0007204', 'GO:0007193', 'GO:0008360', 'GO:0022008', 'GO:0043123']","['GO:0009986', 'GO:0005887', 'GO:0043025', 'GO:0005886', 'GO:0005737', 'GO:0045211', 'GO:0042734', 'GO:0043197', 'GO:0098978']","['GO:0005515', 'GO:0001965']"
LTBP1,['GO:0035583'],"['GO:0031012', 'GO:0005576']","['GO:0005515', 'GO:0005509', 'GO:0005201']"
LYN,"['GO:0009410', 'GO:0008285', 'GO:0030154', 'GO:0007169', 'GO:0018108', 'GO:0008284', 'GO:0043407', 'GO:0046777', 'GO:0006974', 'GO:0035556', 'GO:0007165', 'GO:0070372', 'GO:0030335', 'GO:0001817', 'GO:0002768', 'GO:0006468', 'GO:0001934']","['GO:0009986', 'GO:0045121', 'GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0005912', 'GO:0005794', 'GO:0005634', 'GO:0005829', 'GO:0048471', 'GO:0098978', 'GO:0009898', 'GO:0030666']","['GO:0097110', 'GO:0005102', 'GO:0005515', 'GO:0017124', 'GO:0044325', 'GO:0005178', 'GO:0043015']"
MACF1,"['GO:0032886', 'GO:0045773', 'GO:0030334', 'GO:0042060', 'GO:0016055']","['GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0005794', 'GO:0005874', 'GO:0005856', 'GO:0032587']","['GO:0005515', 'GO:0005509', 'GO:0045296', 'GO:0008017']"
MAML2,"['GO:0045944', 'GO:0007219', 'GO:0007221']","['GO:0005654', 'GO:0005634', 'GO:0016607']",['GO:0005515']
MAPK15,"['GO:0008284', 'GO:0010506', 'GO:0046777', 'GO:0006974', 'GO:0035556', 'GO:0090494']","['GO:0005576', 'GO:0005737', 'GO:0005794', 'GO:0005634', 'GO:0005911', 'GO:0031410']","['GO:0005515', 'GO:0003682', 'GO:0017124']"
MAPT,"['GO:0032930', 'GO:0006919', 'GO:0045773', 'GO:0007267', 'GO:0010506', 'GO:0000226', 'GO:0006974', 'GO:1901216']","['GO:0045121', 'GO:0043025', 'GO:0005576', 'GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0030424', 'GO:0043005', 'GO:0005634', 'GO:0005829', 'GO:0043197', 'GO:0005874', 'GO:0016607', 'GO:0030425']","['GO:0005515', 'GO:0019901', 'GO:0017124', 'GO:0008017', 'GO:0003677', 'GO:0051721', 'GO:0030674']"
MARCO,"['GO:0043277', 'GO:0070374', 'GO:0007193', 'GO:0001934']","['GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0030666']",['GO:0001540']
MARK4,"['GO:0000226', 'GO:0035556', 'GO:0007399', 'GO:0006468', 'GO:1904781', 'GO:0045787']","['GO:0005737', 'GO:0043005', 'GO:0005829', 'GO:0005815', 'GO:0030425']","['GO:0005515', 'GO:0008017', 'GO:0043015']"
MAZ,"['GO:0000122', 'GO:0006357', 'GO:0008284', 'GO:0010628', 'GO:0045893', 'GO:0030335']",['GO:0005634'],"['GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0003700']"
MFGE8,"['GO:0001525', 'GO:0007155', 'GO:0043277', 'GO:0050766']","['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0016020']","['GO:0005201', 'GO:0005178']"
MMP16,"['GO:0048701', 'GO:0030198', 'GO:0001958']","['GO:0009986', 'GO:0005887', 'GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0005886']",['GO:0008270']
MOG,"['GO:0007155', 'GO:0001817']",['GO:0005886'],['GO:0005102']
MX1,"['GO:0006915', 'GO:0006952', 'GO:0007165']","['GO:0005737', 'GO:0016020', 'GO:0005634', 'GO:0005829', 'GO:0048471', 'GO:0005874']","['GO:0005515', 'GO:0008017']"
NLRP14,['GO:0030154'],['GO:0005737'],
NNT,"['GO:0043066', 'GO:0006740', 'GO:0098869']",['GO:0016020'],['GO:0051287']
NOTCH4,"['GO:0000122', 'GO:0030154', 'GO:0045893', 'GO:0042060', 'GO:0045596', 'GO:0001569', 'GO:0007219', 'GO:0007221']","['GO:0009986', 'GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0005509']"
NOX4,"['GO:0008285', 'GO:0006954', 'GO:0006952', 'GO:0055007', 'GO:0070374', 'GO:0010467', 'GO:0043406']","['GO:0005925', 'GO:0005886', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0048471']","['GO:0005515', 'GO:1990782']"
NR1H3,"['GO:0000122', 'GO:0045944', 'GO:0030154', 'GO:0043277', 'GO:0050728', 'GO:0009755', 'GO:0045893', 'GO:0071222', 'GO:1903573']","['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0090575', 'GO:0043235']","['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0008270', 'GO:0004879', 'GO:0003677']"
NR2E1,"['GO:0000122', 'GO:0045944', 'GO:0030154', 'GO:0001525', 'GO:0006915', 'GO:0006357', 'GO:0043066', 'GO:0048856', 'GO:2000648', 'GO:0045165', 'GO:0021542', 'GO:0030198', 'GO:0007399', 'GO:0007601', 'GO:0045787']","['GO:0000785', 'GO:0005654']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0008270', 'GO:0004879', 'GO:0042826']"
NUAK1,"['GO:0007155', 'GO:0042127', 'GO:0006974', 'GO:0035556', 'GO:0006468']","['GO:0005737', 'GO:0005654', 'GO:0005634']",['GO:0005515']
NUP93,['GO:0060395'],"['GO:0016020', 'GO:0005829']",['GO:0005515']
PAX5,"['GO:0000122', 'GO:0045944', 'GO:0048701', 'GO:0007275', 'GO:0006357', 'GO:0048856', 'GO:0006366']","['GO:0000785', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0003677']"
PDE4B,"['GO:0071222', 'GO:0007165']","['GO:0005891', 'GO:0005634', 'GO:0005829', 'GO:0048471', 'GO:0043197']","['GO:0044325', 'GO:0043015']"
PHLDA1,"['GO:0006915', 'GO:0043065']","['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0031410']",['GO:0005515']
PHOX2A,"['GO:0045944', 'GO:0048485', 'GO:0006357', 'GO:0003357']","['GO:0000785', 'GO:0005634']","['GO:0001228', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0000977', 'GO:0003677']"
PLEKHH3,['GO:0007165'],"['GO:0005615', 'GO:0005856']",
