gene,BP,CC,MF
PRDM16,"['GO:0000122', 'GO:0045944', 'GO:0006357', 'GO:0045892', 'GO:0045893', 'GO:0030512']","['GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0017053']","['GO:0001228', 'GO:0000978', 'GO:0005515']"
PRKCB,"['GO:0009410', 'GO:0045471', 'GO:0006915', 'GO:0006816', 'GO:0006874', 'GO:0006357', 'GO:0045893', 'GO:0035556', 'GO:0007165', 'GO:0043123', 'GO:0006468', 'GO:0042113']","['GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0008270', 'GO:0003682']"
PROM1,['GO:0010842'],"['GO:0009986', 'GO:0005887', 'GO:0005615', 'GO:0005886', 'GO:0070062', 'GO:0016324']","['GO:0005515', 'GO:0045296']"
PRRX1,"['GO:0000122', 'GO:0045944', 'GO:0048701', 'GO:0042474', 'GO:0072089', 'GO:0006357', 'GO:2000648', 'GO:0006366', 'GO:0007224']","['GO:0000785', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0071837', 'GO:0003677', 'GO:0061629']"
PTGER4,"['GO:0006954', 'GO:0050728', 'GO:0030278', 'GO:0007204', 'GO:0001819', 'GO:0071260']","['GO:0005886', 'GO:0016020']",['GO:0005515']
PYCARD,"['GO:0006915', 'GO:0097202', 'GO:0050766', 'GO:0006919', 'GO:0006954', 'GO:0032088', 'GO:0043065', 'GO:0010506', 'GO:0006952', 'GO:0070374', 'GO:0002277', 'GO:0043124', 'GO:0071356', 'GO:0071222', 'GO:0007165', 'GO:0032731', 'GO:0044351']","['GO:0043025', 'GO:0005576', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0005874', 'GO:0034774']","['GO:0005515', 'GO:0002020', 'GO:0042803', 'GO:0044325']"
RARA,"['GO:0000122', 'GO:0045944', 'GO:0008285', 'GO:0045471', 'GO:0030154', 'GO:0043277', 'GO:0002068', 'GO:0001843', 'GO:0045892', 'GO:0008284', 'GO:0010628', 'GO:0009755', 'GO:0048384', 'GO:0031641', 'GO:0071391', 'GO:0060324', 'GO:0045893', 'GO:1902894', 'GO:0060534', 'GO:0045596', 'GO:0071222', 'GO:0007165', 'GO:0055012', 'GO:0006468', 'GO:0045787']","['GO:0009986', 'GO:0000785', 'GO:0005886', 'GO:0005737', 'GO:0005667', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0048471', 'GO:0090575', 'GO:0030425']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005102', 'GO:0005515', 'GO:0003700', 'GO:0008270', 'GO:0004879', 'GO:0003682', 'GO:0000977', 'GO:0042826', 'GO:0051018']"
RARB,"['GO:0000122', 'GO:0045944', 'GO:0008285', 'GO:0030154', 'GO:0032331', 'GO:0048048', 'GO:0006915', 'GO:0002068', 'GO:0072089', 'GO:0043065', 'GO:0048566', 'GO:0009755', 'GO:0048384', 'GO:2000647', 'GO:0031641', 'GO:0035116', 'GO:0022008', 'GO:0007165', 'GO:0055012']","['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0008270', 'GO:0004879', 'GO:0044877', 'GO:0003677']"
RARG,"['GO:0000122', 'GO:0045944', 'GO:0008285', 'GO:0030154', 'GO:0032331', 'GO:0048048', 'GO:0006915', 'GO:0002068', 'GO:0072089', 'GO:0001843', 'GO:0008284', 'GO:0010628', 'GO:0060070', 'GO:0043065', 'GO:0009755', 'GO:0048384', 'GO:2000647', 'GO:0031641', 'GO:0060324', 'GO:0060534', 'GO:0035116']","['GO:0000785', 'GO:0005737', 'GO:0005667', 'GO:0016020', 'GO:0005654', 'GO:0005634']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0008270', 'GO:0004879', 'GO:0003682', 'GO:0003677']"
RARRES2,"['GO:0030154', 'GO:0006954', 'GO:0048566', 'GO:0006935', 'GO:0001934']","['GO:0031012', 'GO:0005615', 'GO:0005576']","['GO:0005102', 'GO:0005515']"
RGS7,"['GO:0045471', 'GO:0035556', 'GO:0001975']","['GO:0045121', 'GO:0005886', 'GO:0005737', 'GO:0043005', 'GO:0005829']",['GO:0001965']
RPS15,"['GO:0001649', 'GO:0097421']","['GO:0005925', 'GO:0005737', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0003677']"
RPTOR,"['GO:0009410', 'GO:0010506', 'GO:0006974', 'GO:0001938']","['GO:0043025', 'GO:0005737', 'GO:0005654', 'GO:0005829', 'GO:0030425']","['GO:0005515', 'GO:0044877', 'GO:0019901', 'GO:0030674']"
RUNX2,"['GO:0045944', 'GO:0042475', 'GO:0048701', 'GO:0001649', 'GO:0045595', 'GO:0072089', 'GO:0006357', 'GO:0002062', 'GO:0045892', 'GO:0008284', 'GO:0030509', 'GO:0071773', 'GO:0010628', 'GO:2000648', 'GO:0030278', 'GO:0002063', 'GO:0002076', 'GO:0007224', 'GO:0032332', 'GO:0010467', 'GO:0045893', 'GO:0001958', 'GO:0060395']","['GO:0000785', 'GO:0005737', 'GO:0005667', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0003682', 'GO:0003677']"
SALL2,"['GO:0000122', 'GO:0045944', 'GO:0006357']",['GO:0005634'],"['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0044877', 'GO:0000977']"
SCGB3A1,"['GO:1901741', 'GO:0042127', 'GO:0007165']","['GO:0005615', 'GO:0070062']",['GO:0005515']
SCN10A,"['GO:0042475', 'GO:0098703', 'GO:0086010', 'GO:0019233', 'GO:0099505', 'GO:0035725', 'GO:0002027', 'GO:0019228']","['GO:0005886', 'GO:0070062', 'GO:0005891', 'GO:0042734', 'GO:0030424', 'GO:0098978']","['GO:0008331', 'GO:0044325']"
SCN11A,"['GO:0009410', 'GO:0098703', 'GO:0007409', 'GO:0086010', 'GO:0050965', 'GO:0019233', 'GO:1990408', 'GO:0035725', 'GO:0019228']","['GO:0043025', 'GO:0005886', 'GO:0070062', 'GO:0005891', 'GO:0030424', 'GO:0044295']",['GO:0008331']
SEMA3D,"['GO:0007411', 'GO:0030335']","['GO:0005887', 'GO:0005615']",
SERPINB9,"['GO:0043066', 'GO:0071391']","['GO:0005615', 'GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0002020', 'GO:0004867']"
SFRP5,"['GO:0008285', 'GO:0030154', 'GO:0006915', 'GO:0009653', 'GO:0060070', 'GO:0030178', 'GO:0007165', 'GO:0007601']",['GO:0005615'],
SFTPA2,['GO:0007585'],"['GO:0005615', 'GO:0005576']",['GO:0005515']
SHF,['GO:0006915'],,
SHROOM3,"['GO:0007389', 'GO:0001843', 'GO:0008360']","['GO:0005737', 'GO:0005912', 'GO:0030864', 'GO:0005874', 'GO:0005856', 'GO:0016324']",
SIM2,"['GO:0000122', 'GO:0030154', 'GO:0006357', 'GO:0007399']","['GO:0000785', 'GO:0005654']","['GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0000977', 'GO:0003677']"
SIX2,"['GO:0045944', 'GO:0048701', 'GO:0016477', 'GO:0042474', 'GO:0008283', 'GO:0009653', 'GO:0006357', 'GO:0002062', 'GO:0030278', 'GO:0045596', 'GO:0001822']","['GO:0000785', 'GO:0005667', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0044877', 'GO:0003677']"
SLC13A3,"['GO:0035725', 'GO:0034775']","['GO:0005886', 'GO:0070062', 'GO:0016323']","['GO:0005515', 'GO:0022857', 'GO:0034634']"
SLC2A2,"['GO:0015755', 'GO:1904659', 'GO:0035774']","['GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0005911', 'GO:0016324']","['GO:0005353', 'GO:0005355', 'GO:0022857', 'GO:0015149']"
SLC2A5,"['GO:0015755', 'GO:1904659']","['GO:0005887', 'GO:0005886', 'GO:0070062', 'GO:0042383', 'GO:0016020', 'GO:0035579', 'GO:0016324']","['GO:0005515', 'GO:0005353', 'GO:0005355', 'GO:0022857']"
SLC2A9,"['GO:0015755', 'GO:1904659']","['GO:0005886', 'GO:0016323', 'GO:0016020', 'GO:0016324']","['GO:0005353', 'GO:0005355', 'GO:0022857', 'GO:0015149']"
SLC33A1,"['GO:0030509', 'GO:0060395']","['GO:0005887', 'GO:0005886', 'GO:0016020']","['GO:0005515', 'GO:0042803']"
SLC39A7,['GO:0098773'],"['GO:0016020', 'GO:0005794', 'GO:0005654']",['GO:0005515']
SLC6A3,"['GO:0009410', 'GO:0045471', 'GO:0035725', 'GO:0090494']","['GO:0009986', 'GO:0045121', 'GO:0005887', 'GO:0043025', 'GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0045211', 'GO:0042734', 'GO:0030424', 'GO:0043005']","['GO:0005102', 'GO:0005515', 'GO:0002020', 'GO:0044877', 'GO:0051721']"
SLC8A1,"['GO:0009410', 'GO:0098703', 'GO:0006874', 'GO:0070588', 'GO:0097553', 'GO:0070509', 'GO:1901660', 'GO:0035725', 'GO:0002027']","['GO:0005887', 'GO:0043025', 'GO:0005886', 'GO:0042383', 'GO:0016020', 'GO:0030424', 'GO:0005654', 'GO:0043197', 'GO:0005874', 'GO:0071944', 'GO:0030425']","['GO:0005515', 'GO:0005509', 'GO:0044325']"
SLCO4C1,['GO:0030154'],"['GO:0005887', 'GO:0005886', 'GO:0070062', 'GO:0016323', 'GO:0035579']",
SLFN11,['GO:0006974'],"['GO:0005654', 'GO:0005634', 'GO:0005829']",['GO:0005515']
SND1,['GO:0001649'],"['GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0042470', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0045296']"
SNED1,['GO:0007160'],"['GO:0031012', 'GO:0005576']",['GO:0005509']
SOSTDC1,"['GO:0042475', 'GO:0007389', 'GO:0030509', 'GO:0060070', 'GO:0030178', 'GO:0016055']",['GO:0005615'],
SPRY4,"['GO:0048513', 'GO:0043407']","['GO:0005925', 'GO:0005737', 'GO:0016020', 'GO:0005829', 'GO:0032587']",['GO:0005515']
SSTR4,"['GO:0008285', 'GO:0016477', 'GO:0070374']","['GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0043005']",['GO:0005515']
STAT4,"['GO:0045944', 'GO:0006357', 'GO:0006952', 'GO:0042127']","['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0090575']","['GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0003677']"
STEAP2,['GO:0098711'],"['GO:0005886', 'GO:0005829', 'GO:0005769']",
STIM1,"['GO:0006816', 'GO:0006874']","['GO:0005887', 'GO:0005886', 'GO:0044853', 'GO:0005874']","['GO:0005515', 'GO:0005509', 'GO:0002020', 'GO:0051010']"
TAC1,"['GO:0006954', 'GO:0007267', 'GO:0007204', 'GO:0050965', 'GO:0019233', 'GO:1901216']","['GO:0043025', 'GO:0005615', 'GO:0005576', 'GO:0030424']",
TACC2,"['GO:0008283', 'GO:0000226']","['GO:0005886', 'GO:0005737', 'GO:0005654', 'GO:0005829', 'GO:0005815']",
TET1,"['GO:0000122', 'GO:0045944', 'GO:0008284', 'GO:0030512']",['GO:0005634'],"['GO:0005515', 'GO:0008270', 'GO:0005506', 'GO:0003677']"
TFAP2B,"['GO:0000122', 'GO:0009410', 'GO:0045944', 'GO:0008285', 'GO:0048485', 'GO:0045595', 'GO:0006357', 'GO:0045892', 'GO:0043066', 'GO:0008284', 'GO:0048856', 'GO:0006366', 'GO:0042127', 'GO:0010467', 'GO:0045893', 'GO:0010842', 'GO:0001822']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0042803', 'GO:0003682', 'GO:0000977', 'GO:0003677']"
TLX1,"['GO:0045944', 'GO:0006357', 'GO:0048513']","['GO:0000785', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0003677']"
TM9SF4,['GO:0007155'],"['GO:0016020', 'GO:0005794', 'GO:0005769']",['GO:0005515']
TMEM106A,"['GO:0043410', 'GO:0032731', 'GO:0043123']",['GO:0005886'],['GO:0005515']
TPM4,['GO:0001649'],"['GO:0005925', 'GO:0070062', 'GO:0016020', 'GO:0005829', 'GO:0005856', 'GO:0005884', 'GO:0001725']","['GO:0005515', 'GO:0005509', 'GO:0042803']"
TRIM2,['GO:0043523'],['GO:0005737'],"['GO:0005515', 'GO:0008270']"
TRIP6,"['GO:0007165', 'GO:0043009', 'GO:0030335']","['GO:0005925', 'GO:0005886', 'GO:0005737', 'GO:0005634', 'GO:0005829', 'GO:0005856', 'GO:0001725']",['GO:0005515']
TRPM4,"['GO:0070588', 'GO:0008284', 'GO:0007204', 'GO:0035774']","['GO:0005887', 'GO:0043025', 'GO:0005886', 'GO:0016020', 'GO:0005794', 'GO:0005654', 'GO:0005829']","['GO:0005515', 'GO:0005509']"
TXNRD1,"['GO:0008283', 'GO:0007165', 'GO:0098869']","['GO:0070062', 'GO:0005737', 'GO:0005654', 'GO:0005829']",['GO:0005515']
TYR,"['GO:0008283', 'GO:0007601']","['GO:0005737', 'GO:0042470', 'GO:0005634', 'GO:0005829', 'GO:0048471']","['GO:0005515', 'GO:0042803']"
UCP1,['GO:0006357'],,['GO:0022857']
WNT7A,"['GO:0045944', 'GO:0001525', 'GO:0006915', 'GO:0042733', 'GO:0002062', 'GO:0043066', 'GO:0043627', 'GO:0007409', 'GO:0010628', 'GO:0060070', 'GO:0014719', 'GO:0045165', 'GO:0045893', 'GO:0035116', 'GO:0010595']","['GO:0009986', 'GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0005886', 'GO:0070062', 'GO:0098978', 'GO:0030666']","['GO:0005102', 'GO:0005515']"
ZFP42,"['GO:0006357', 'GO:0008584']","['GO:0005737', 'GO:0005667']","['GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700']"
ZNF154,['GO:0006357'],['GO:0005634'],"['GO:0000978', 'GO:0000981']"
ZNF660,['GO:0006357'],['GO:0005634'],"['GO:0000978', 'GO:1990837', 'GO:0005515', 'GO:0003700']"
ZNF90,['GO:0006357'],['GO:0005634'],"['GO:0000978', 'GO:0000981', 'GO:0003700', 'GO:0008270']"
AFAP1L1,,['GO:0005829'],"['GO:0005515', 'GO:0017124']"
AOX1,,"['GO:0070062', 'GO:0005737', 'GO:0005829']","['GO:0042803', 'GO:0005506', 'GO:0051287']"
B4GALNT3,,['GO:0005794'],
BDH2,,"['GO:0070062', 'GO:0005737', 'GO:0005829']","['GO:0005515', 'GO:0051287']"
C10ORF90,,"['GO:0005886', 'GO:0005737', 'GO:0005654', 'GO:0005829', 'GO:0005815']",['GO:0008017']
CADM3,,"['GO:0005886', 'GO:0005911']","['GO:0005515', 'GO:0042803']"
CPVL,,['GO:0070062'],
CPXM2,,"['GO:0005615', 'GO:0005576']",['GO:0008270']
DOK7,,"['GO:0005886', 'GO:0005654']","['GO:0005515', 'GO:0019901']"
EEF2,,"['GO:0005576', 'GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005634', 'GO:0005829', 'GO:0034774']","['GO:0005515', 'GO:0019901', 'GO:0045296']"
EIF5A2,,"['GO:0005634', 'GO:0005829']",['GO:0005515']
ERP44,,"['GO:0009986', 'GO:0005576', 'GO:0070062', 'GO:0035580']",['GO:0005515']
FAM110B,,"['GO:0005829', 'GO:0005815']",['GO:0005515']
FBXO17,,"['GO:0005737', 'GO:0005829']",['GO:0005515']
HAAO,,"['GO:0005737', 'GO:0005829']","['GO:0005515', 'GO:0005506']"
HS3ST1,,['GO:0005794'],
ISYNA1,,"['GO:0005737', 'GO:0005829']",['GO:0005515']
ITIH5,,['GO:0005576'],['GO:0004867']
KLK13,,"['GO:0005615', 'GO:0005576', 'GO:0005737']",['GO:0005515']
LRP1B,,"['GO:0005886', 'GO:0016020', 'GO:0043235']","['GO:0005515', 'GO:0005509']"
MARVELD1,,"['GO:0005886', 'GO:0005737', 'GO:0005634', 'GO:0005856']",
MS4A3,,"['GO:0005886', 'GO:0048471', 'GO:0035579']",['GO:0005515']
NBEAL2,,"['GO:0005886', 'GO:0016020', 'GO:0005829']","['GO:0005515', 'GO:0019901']"
NBR1,,"['GO:0016020', 'GO:0005654', 'GO:0005829', 'GO:0043235', 'GO:0031410']","['GO:0005515', 'GO:0008270']"
NUP43,,"['GO:0005654', 'GO:0005829', 'GO:0016607']",['GO:0005515']
NXPH2,,['GO:0005576'],['GO:0005102']
PAH,,['GO:0005829'],['GO:0005506']
PFDN4,,"['GO:0005737', 'GO:0005634', 'GO:0005829']","['GO:0001540', 'GO:0005515']"
PFKP,,"['GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0044877', 'GO:0045296']"
PON3,,"['GO:0005615', 'GO:0005576', 'GO:0070062']",['GO:0042803']
PPM1H,,"['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0098978']",['GO:0005515']
PPT2,,['GO:0070062'],
PTPRN2,,"['GO:0005887', 'GO:0005886', 'GO:0043235']",
RAB17,,"['GO:0043025', 'GO:0005886', 'GO:0070062', 'GO:0016323', 'GO:0042470', 'GO:0098978', 'GO:0016324', 'GO:0005769', 'GO:0030425']",['GO:0005515']
RGS20,,"['GO:0005886', 'GO:0005737', 'GO:0005634']",['GO:0005515']
RHCG,,"['GO:0005887', 'GO:0005886', 'GO:0070062', 'GO:0016323', 'GO:0016324', 'GO:0031410']",['GO:0005515']
RPL22L1,,['GO:0005737'],['GO:0005515']
RPS18,,"['GO:0005925', 'GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0005829']",['GO:0005515']
SERPINB1,,"['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0016020', 'GO:0005769', 'GO:0034774']","['GO:0005515', 'GO:0004867', 'GO:0030414']"
SLC16A5,,"['GO:0005887', 'GO:0005886', 'GO:0016020']","['GO:0005515', 'GO:0022857']"
ST6GALNAC3,,"['GO:0005794', 'GO:0005654']",['GO:0005515']
TBC1D1,,['GO:0005634'],['GO:0005515']
TCN1,,"['GO:0005615', 'GO:0005576', 'GO:0035580']",['GO:0005515']
TDRD1,,['GO:0005737'],
TFPI,,"['GO:0009986', 'GO:0005615', 'GO:0005576', 'GO:0005886', 'GO:0005901']",['GO:0004867']
TIMP2,,"['GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0035580']","['GO:0005515', 'GO:0008270', 'GO:0002020', 'GO:0030414']"
TRIM36,,"['GO:0005886', 'GO:0005737', 'GO:0005829', 'GO:0005856']","['GO:0005515', 'GO:0008270']"
TTC28,,"['GO:0005737', 'GO:0005815']",
USP44,,"['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634']","['GO:0005515', 'GO:0008270']"
WFDC2,,"['GO:0005615', 'GO:0005576', 'GO:0070062']","['GO:0005515', 'GO:0004867', 'GO:0030414']"
C16ORF74,,,['GO:0005515']
CYP11A1,,,"['GO:0005515', 'GO:0005506']"
CYP27A1,,,['GO:0005506']
LCE4A,,,['GO:0005515']
OXA1L,,,"['GO:0005515', 'GO:0042803']"
