CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,cutpoint,F1,DNAm,auc
cg04294888,0.485245566,0.605763214,14.98587225,7.04e-43,4.36e-40,86.40684213,0.16415484,0.649400406,0.485245566,22,28839249,F,II,TTC28,Body,opensea,Body-opensea,,,,,,,0.587219031,0.38,0.9330543933054394,hyper,0.9188932806324112
cg14117138,0.487159328,0.627808756,17.53042025,4.41e-55,2.91e-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.587046117,0.32,0.9635627530364372,hyper,0.9195256916996047
cg05385513,0.476907781,0.636862006,16.81552447,1.37e-51,5.1099999999999995e-48,106.3804127,0.202841615,0.679749396,0.476907781,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.576475575,0.36,0.952965235173824,hyper,0.9244268774703558
cg10069493,0.461859343,0.579439144,16.99491377,1.8399999999999997e-52,8.06e-49,108.3818956,0.159113915,0.620973258,0.461859343,10,45914688,R,I,ALOX5,Body,island,Body-island,chr10:45914374-45914883,True,True,,,,0.572644126,0.36,0.9419087136929462,hyper,0.9215810276679842
cg26573704,0.443961282,0.542280174,15.31663994,2e-44,1.68e-41,89.95182057,0.138243467,0.58220475,0.443961282,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.56913528,0.25,0.9551020408163268,hyper,0.9065612648221344
cg21919857,0.462558015,0.638629273,17.12268461,4.39e-53,2.1400000000000002e-49,109.8115291,0.217668201,0.680226216,0.462558015,5,180018102,R,II,SCGB3A1,Body,island,Body-island,chr5:180017099-180019062,,True,,,,0.564267502,0.52,0.926315789473684,hyper,0.9106719367588932
cg14861089,0.456110824,0.616962583,16.29931593,4.2800000000000004e-49,9.2e-46,100.6603591,0.201868919,0.657979743,0.456110824,10,102895043,R,I,TLX1,Body,island,Body-island,chr10:102893660-102895059,,,,,,0.559211553,0.28,0.9635627530364372,hyper,0.9228458498023715
cg08862890,0.467003585,0.604098205,18.17308614,2.95e-58,4.26e-54,121.6809802,0.179091346,0.64609493,0.467003585,5,169064451,R,I,DOCK2,Body,island,Body-island,chr5:169064270-169064702,,,,,,0.556384629,0.39,0.9506172839506172,hyper,0.9231620553359684
cg00817367,0.476429186,0.603189432,18.76519493,3.3099999999999996e-61,8.890000000000003e-57,128.4516895,0.169604597,0.646033783,0.476429186,12,52401214,F,I,GRASP,Body,island,Body-island,chr12:52400467-52401696,True,,,,,0.55498594,0.41,0.9527720739219712,hyper,0.9258498023715415
cg20883831,0.462837739,0.543041064,16.14435613,2.3699999999999998e-48,4.21e-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.553790152,0.16,0.9718875502008032,hyper,0.9356521739130435
cg03576469,0.472785931,0.621988236,17.08321076,6.84e-53,3.18e-49,109.3694999,0.191719025,0.664504956,0.472785931,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.549827987,0.38,0.9613034623217924,hyper,0.9135177865612648
cg09296001,0.454654909,0.576115252,19.29261601,7.49e-64,4.690000000000001e-59,134.5230548,0.162346575,0.617001485,0.454654909,7,127672564,R,I,SND1,Body,island,Body-island,chr7:127671158-127672853,True,,,,,0.548335093,0.44,0.9484536082474228,hyper,0.9155731225296443
cg26388816,0.460666833,0.608316337,16.61105258,1.34e-50,3.83e-47,104.1075072,0.189076377,0.64974321,0.460666833,12,570155,F,I,B4GALNT3,Body,island,Body-island,chr12:568702-570362,True,,,,,0.547537792,0.39,0.9440993788819876,hyper,0.9212648221343874
cg02534363,0.445082018,0.598838056,14.84724763,3.1e-42,1.68e-39,84.93083191,0.1937814,0.638863418,0.445082018,3,47050950,R,II,NBEAL2,3'UTR,island,3'UTR-island,chr3:47050486-47051609,,True,,,,0.543311418,0.26,0.9552845528455284,hyper,0.9157312252964427
cg04407470,0.41683616,0.547685311,15.94979703,2.02e-47,3e-44,96.82294578,0.168334418,0.585170577,0.41683616,6,108489977,R,I,NR2E1,Body,island,Body-island,chr6:108485671-108490539,,True,,,,0.543105463,0.26,0.9574036511156186,hyper,0.9233201581027669
cg08843517,0.452742099,0.626869579,17.99178091,2.33e-57,2.58e-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.542396344,0.29,0.9699398797595192,hyper,0.9198418972332015
cg02499249,0.461076705,0.568310676,15.17531068,9.19e-44,6.69e-41,88.43322163,0.148697703,0.609774408,0.461076705,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.537191401,0.26,0.9570552147239264,hyper,0.9187351778656127
cg19548479,0.442655104,0.526410017,15.02676679,4.5400000000000015e-43,2.95e-40,86.84337913,0.123562027,0.566217131,0.442655104,17,41363737,R,II,TMEM106A,TSS200,island,TSS200-island,chr17:41363727-41364273,True,,,,,0.536731779,0.31,0.9419087136929462,hyper,0.9128853754940712
cg16332610,0.448924064,0.644556976,18.70762821,6.41e-61,1.4200000000000001e-56,127.791206,0.236003781,0.684927845,0.448924064,15,74658547,F,II,CYP11A1,1stExon,island,1stExon-island,chr15:74658038-74658574,,True,,,,0.536388341,0.38,0.9698189134808854,hyper,0.9160474308300396
cg16232979,0.447779549,0.55432619,16.05728139,6.189999999999999e-48,1.02e-44,97.99982126,0.146814586,0.594594135,0.447779549,19,16187631,F,I,TPM4,Body,island,Body-island,chr19:16186789-16188275,,,high-CpG:16048047-16048853,,,0.536382411,0.39,0.9375,hyper,0.9103557312252964
cg22260952,0.448151326,0.560729884,16.33324683,2.94e-49,6.54e-46,101.0344681,0.152879937,0.601031263,0.448151326,12,104852446,F,I,CHST11,Body,shore,Body-shore,chr12:104850253-104852395,,,,,,0.532698931,0.37,0.9462809917355371,hyper,0.919209486166008
cg13247663,0.410974029,0.624317945,17.27915966,7.54e-54,4.05e-50,111.5667979,0.250302013,0.661276041,0.410974029,8,59058254,R,I,FAM110B,5'UTR,island,5'UTR-island,chr8:59058167-59059414,True,True,high-CpG:59220802-59221031,,,0.53255206,0.43,0.9552845528455284,hyper,0.9056126482213438
cg20687242,0.434039699,0.581535262,15.27960063,2.98e-44,2.3999999999999997e-41,89.55327381,0.18652791,0.620567609,0.434039699,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.532474576,0.26,0.9678714859437751,hyper,0.9209486166007906
cg12627583,0.438785201,0.552056092,15.4359162,5.5e-45,5.09e-42,91.23788422,0.152729992,0.591515192,0.438785201,2,201450731,R,II,AOX1,1stExon,island,1stExon-island,chr2:201450526-201451027,True,True,,,,0.53241768,0.18,0.9698189134808854,hyper,0.9146245059288538
cg26654286,0.442770403,0.542524439,15.5782783,1.17e-45,1.23e-42,92.77804597,0.139571518,0.582341921,0.442770403,17,38465510,F,II,RARA,5'UTR,opensea,5'UTR-opensea,,,,,,,0.530988377,0.29,0.952965235173824,hyper,0.9190513833992096
cg06126713,0.432175254,0.608194266,14.45837469,1.9199999999999998e-40,7.45e-38,80.82233386,0.214883692,0.647058947,0.432175254,7,16505617,R,II,SOSTDC1,TSS200,opensea,TSS200-opensea,,,,,,,0.529939612,0.38,0.9330543933054394,hyper,0.9056126482213438
cg20118643,0.437301406,0.603430351,14.83126488,3.68e-42,1.97e-39,84.76103318,0.205454611,0.642756017,0.437301406,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.527310516,0.45,0.9171974522292994,hyper,0.8958102766798419
cg06426416,0.389213017,0.505983496,11.78586414,9.03e-29,4.59e-27,54.09978781,0.151771649,0.540984666,0.389213017,4,5710403,R,II,EVC2,5'UTR,island,5'UTR-island,chr4:5709985-5710495,True,,,,,0.525780059,0.37,0.8913043478260869,hyper,0.8732015810276681
cg20676696,0.431736041,0.544759411,14.54194117,7.949999999999995e-41,3.33e-38,81.70114321,0.151848553,0.583584594,0.431736041,1,110210444,R,II,GSTM2,TSS200,shore,TSS200-shore,chr1:110210581-110210956,True,True,,,,0.524323575,0.2,0.959349593495935,hyper,0.9027667984189722
cg08377924,0.455227965,0.526558613,14.71900945,1.22e-41,6.02e-39,83.57068034,0.112268415,0.567496379,0.455227965,17,41363628,R,II,NBR1,3'UTR,shore,3'UTR-shore,chr17:41363727-41364273,True,,,,,0.521922397,0.2,0.9591836734693876,hyper,0.9223715415019762
cg00980978,0.434326503,0.537549215,14.21229811,2.55e-39,7.88e-37,78.24794969,0.142280851,0.576607354,0.434326503,20,44098724,R,II,WFDC2,Body,island,Body-island,chr20:44098280-44099536,,True,,,,0.520287603,0.29,0.9397089397089397,hyper,0.9111462450592885
cg15732851,0.400786037,0.550707893,12.13607349,3.16e-30,2.0099999999999999e-28,57.43056628,0.185963766,0.586749803,0.400786037,1,203598761,F,I,ATP2B4,5'UTR,island,5'UTR-island,chr1:203598471-203598853,,,,,,0.519229952,0.21,0.9404517453798767,hyper,0.8692490118577074
cg16260298,0.440477513,0.540672944,16.4909963,5.11e-50,1.32e-46,102.7772927,0.139806718,0.580284231,0.440477513,7,116140342,F,II,CAV2,Body,island,Body-island,chr7:116139774-116140352,True,,,,,0.518921037,0.22,0.9718875502008032,hyper,0.9198418972332016
cg02156680,0.430787277,0.531705566,14.11790526,6.85e-39,1.98e-36,77.26587856,0.139658151,0.570445429,0.430787277,8,120651317,R,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.518424761,0.28,0.9330543933054394,hyper,0.9127272727272727
cg09651145,0.422567793,0.596595116,16.27370258,5.68e-49,1.1899999999999999e-45,100.3781373,0.212028024,0.634595817,0.422567793,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.513821145,0.42,0.9308176100628932,hyper,0.9190513833992096
cg27260772,0.396633153,0.587561897,12.23740222,1.1799999999999999e-30,8.05e-29,58.40488411,0.226597193,0.623230346,0.396633153,6,50791202,F,I,TFAP2B,Body,island,Body-island,chr6:50791110-50791573,,,,,,0.513727276,0.22,0.9469387755102042,hyper,0.8795256916996048
cg22538054,0.428872583,0.516245198,16.21690383,1.0599999999999999e-48,2.05e-45,99.75285779,0.125940293,0.554812876,0.428872583,12,95941988,F,I,USP44,5'UTR,island,5'UTR-island,chr12:95941906-95942979,True,,,rs61939483,,0.511736954,0.18,0.967741935483871,hyper,0.9233201581027668
cg15410675,0.415406122,0.627036834,13.90574682,6.23e-38,1.5e-35,75.0698941,0.248987377,0.664393499,0.415406122,4,154144800,F,II,TRIM2,Body,shore,Body-shore,chr4:154143932-154144463,,True,,,,0.509137734,0.44,0.926315789473684,hyper,0.8972332015810276
cg14130039,0.431070513,0.582808576,15.17480868,9.24e-44,6.7e-41,88.42783788,0.190503396,0.62157391,0.431070513,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.508970194,0.21,0.9699398797595192,hyper,0.9154150197628458
cg17437939,0.427859796,0.639887755,15.15461024,1.1500000000000001e-43,8.199999999999996e-41,88.21127856,0.250504559,0.678364355,0.427859796,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.508479739,0.34,0.9637096774193548,hyper,0.9103557312252964
cg21634602,0.38979035,0.55847866,10.53077795,9.13e-24,2.33e-22,42.6639951,0.203741399,0.593531749,0.38979035,5,112073570,R,II,APC,1stExon,opensea,1stExon-opensea,,True,True,high-CpG:112101462-112101485,,,0.507761097,0.16,0.9363449691991786,hyper,0.8434782608695652
cg06244497,0.429319861,0.526680156,14.54416643,7.77e-41,3.26e-38,81.72457577,0.135968196,0.565288057,0.429319861,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,True,,,,0.505732424,0.31,0.9375,hyper,0.9302766798418974
cg20601919,0.425405436,0.593147991,10.99105428,1.46e-25,4.72e-24,46.76261313,0.20599844,0.631403876,0.425405436,2,219646831,F,I,CYP27A1,5'UTR,island,5'UTR-island,chr2:219646432-219647181,True,,high-CpG:219354692-219355323,,,0.505606056,0.22,0.908704883227176,hyper,0.8553359683794466
cg06947913,0.381894179,0.489870477,13.32328342,2.45e-35,3.7e-33,69.12535565,0.1423193,0.524213479,0.381894179,12,50297793,R,I,FAIM2,TSS200,island,TSS200-island,chr12:50297580-50297988,True,True,,,,0.505495947,0.21,0.931106471816284,hyper,0.8999209486166008
cg14539231,0.373137389,0.494941708,13.37451479,1.46e-35,2.2800000000000002e-33,69.64307003,0.15535984,0.528497228,0.373137389,13,43566262,F,II,EPSTI1,1stExon,island,1stExon-island,chr13:43566074-43566508,True,True,,,,0.50529618,0.39,0.8984881209503239,hyper,0.8815810276679842
cg07198194,0.418193306,0.539452539,18.43280484,1.5100000000000001e-59,2.7e-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.504579713,0.29,0.9698189134808854,hyper,0.9283794466403162
cg00800229,0.423759953,0.498647404,16.08532684,4.54e-48,7.63e-45,98.30737384,0.11299536,0.536755313,0.423759953,14,22004993,F,I,SALL2,1stExon,opensea,1stExon-opensea,,,True,,,,0.503361843,0.18,0.967741935483871,hyper,0.924901185770751
cg00735923,0.403022924,0.63903779,14.32860487,7.54e-40,2.5800000000000002e-37,79.46219153,0.272257935,0.675280859,0.403022924,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.50322073,0.37,0.9575757575757576,hyper,0.876205533596838
cg24033558,0.423071661,0.579939945,20.19649747,2.04e-68,3.84e-63,145.0009546,0.194914296,0.617985957,0.423071661,15,45479755,R,I,SHF,Body,island,Body-island,chr15:45479509-45480498,True,,,,,0.502369931,0.34,0.9718875502008032,hyper,0.9253754940711463
cg22178238,0.400404639,0.603977012,17.85422558,1.12e-56,1e-52,118.0573089,0.239579985,0.639984623,0.400404639,7,158362809,F,I,PTPRN2,Body,island,Body-island,chr7:158361909-158362970,,,,rs74714314,,0.500096336,0.48,0.9462809917355371,hyper,0.9253754940711463
cg18516619,0.402575136,0.533353476,14.32831605,7.56e-40,2.5800000000000002e-37,79.45917062,0.16698114,0.569556276,0.402575136,17,78806891,R,II,RPTOR,Body,opensea,Body-opensea,,,True,,,,0.499264643,0.31,0.9465020576131686,hyper,0.9022924901185772
cg14000361,0.40298381,0.612182869,15.35752576,1.29e-44,1.1099999999999999e-41,90.39220909,0.24543861,0.648422421,0.40298381,6,10882336,F,I,GCM2,TSS1500,shore,TSS1500-shore,chr6:10882926-10883149,,,,,,0.498140837,0.41,0.9465020576131686,hyper,0.906403162055336
cg20787173,0.398757684,0.541145196,14.53223371,8.81e-41,3.65e-38,81.59894002,0.178247016,0.5770047,0.398757684,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,True,,,,,0.497229225,0.19,0.9635627530364372,hyper,0.913201581027668
cg16703956,0.405173205,0.528863792,16.24020906,8.23e-49,1.6099999999999998e-45,100.0093239,0.160127027,0.565300232,0.405173205,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,True,,,,rs2735852,0.494943659,0.32,0.9549180327868853,hyper,0.917312252964427
cg14616251,0.40401107,0.581737678,14.91609077,1.49e-42,8.53e-40,85.66310999,0.214058538,0.618069609,0.40401107,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,True,,,,,0.494668251,0.42,0.9194915254237288,hyper,0.9040316205533596
cg23618344,0.405861603,0.546190164,14.29823635,1.04e-39,3.4500000000000004e-37,79.14470376,0.176826907,0.58268851,0.405861603,12,54423428,R,II,HOXC4,5'UTR,island,5'UTR-island,chr12:54423427-54423712,,,,,,0.492325629,0.29,0.959349593495935,hyper,0.9117786561264822
cg06361405,0.430505324,0.537153613,17.36204178,2.96e-54,1.69e-50,112.498472,0.145362797,0.57586812,0.430505324,10,104434010,F,II,ARL3,3'UTR,opensea,3'UTR-opensea,,True,,,,,0.491041827,0.45,0.91220556745182,hyper,0.9397628458498023
cg26412532,0.407850797,0.518748398,15.30889551,2.17e-44,1.8e-41,89.86845731,0.14757483,0.555425628,0.407850797,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.490481376,0.33,0.9397089397089397,hyper,0.9203162055335968
cg04203238,0.397378973,0.563978376,16.31099095,3.76e-49,8.18e-46,100.7890526,0.202334922,0.599713895,0.397378973,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.490392611,0.41,0.9484536082474228,hyper,0.9190513833992096
cg23267759,0.391573087,0.545523498,14.86927627,2.4499999999999997e-42,1.35e-39,85.16499047,0.189163817,0.580736905,0.391573087,18,19751335,F,I,GATA6,Body,island,Body-island,chr18:19744936-19752363,,True,,,,0.490247286,0.4,0.9194915254237288,hyper,0.9146245059288538
